"method","trait","type","metric","value","n_test","scenario","rep"
"pigauto","trait1","continuous","rmse",0.441032733374542,31,"BM",1
"pigauto","trait1","continuous","pearson_r",0.884666546913195,31,"BM",1
"pigauto","trait1","continuous","mae",0.343155771256375,31,"BM",1
"pigauto","trait1","continuous","conformal_coverage_95",1,31,"BM",1
"pigauto","trait2","continuous","rmse",0.628958028774068,32,"BM",1
"pigauto","trait2","continuous","pearson_r",0.769422096539427,32,"BM",1
"pigauto","trait2","continuous","mae",0.484557979246844,32,"BM",1
"pigauto","trait2","continuous","conformal_coverage_95",0.875,32,"BM",1
"pigauto","trait3","continuous","rmse",0.428310617468889,21,"BM",1
"pigauto","trait3","continuous","pearson_r",0.790516082136459,21,"BM",1
"pigauto","trait3","continuous","mae",0.355322442877788,21,"BM",1
"pigauto","trait3","continuous","conformal_coverage_95",0.952380952380952,21,"BM",1
"baseline","trait1","continuous","rmse",0.441032735303275,31,"BM",1
"baseline","trait1","continuous","pearson_r",0.88466654667256,31,"BM",1
"baseline","trait1","continuous","mae",0.34315577386249,31,"BM",1
"baseline","trait2","continuous","rmse",0.628958028361029,32,"BM",1
"baseline","trait2","continuous","pearson_r",0.769422096643484,32,"BM",1
"baseline","trait2","continuous","mae",0.484557979156448,32,"BM",1
"baseline","trait3","continuous","rmse",0.42831061506927,21,"BM",1
"baseline","trait3","continuous","pearson_r",0.79051608421585,21,"BM",1
"baseline","trait3","continuous","mae",0.355322441259944,21,"BM",1
"pigauto","trait1","continuous","rmse",0.5257761898952,27,"BM",2
"pigauto","trait1","continuous","pearson_r",0.871440845912508,27,"BM",2
"pigauto","trait1","continuous","mae",0.427977520000792,27,"BM",2
"pigauto","trait1","continuous","conformal_coverage_95",0.962962962962963,27,"BM",2
"pigauto","trait2","continuous","rmse",0.440948075278193,26,"BM",2
"pigauto","trait2","continuous","pearson_r",0.915887936072402,26,"BM",2
"pigauto","trait2","continuous","mae",0.352096827597683,26,"BM",2
"pigauto","trait2","continuous","conformal_coverage_95",1,26,"BM",2
"pigauto","trait3","continuous","rmse",0.613530984174975,31,"BM",2
"pigauto","trait3","continuous","pearson_r",0.82502997838565,31,"BM",2
"pigauto","trait3","continuous","mae",0.483241390081397,31,"BM",2
"pigauto","trait3","continuous","conformal_coverage_95",1,31,"BM",2
"baseline","trait1","continuous","rmse",0.475296428308525,27,"BM",2
"baseline","trait1","continuous","pearson_r",0.873542698105632,27,"BM",2
"baseline","trait1","continuous","mae",0.356140538617859,27,"BM",2
"baseline","trait2","continuous","rmse",0.440948078486425,26,"BM",2
"baseline","trait2","continuous","pearson_r",0.915887934273801,26,"BM",2
"baseline","trait2","continuous","mae",0.352096829683028,26,"BM",2
"baseline","trait3","continuous","rmse",0.595725395673116,31,"BM",2
"baseline","trait3","continuous","pearson_r",0.82056833599798,31,"BM",2
"baseline","trait3","continuous","mae",0.463268149634191,31,"BM",2
"pigauto","trait1","continuous","rmse",1.37079071182711,27,"OU",1
"pigauto","trait1","continuous","pearson_r",-0.178312758841893,27,"OU",1
"pigauto","trait1","continuous","mae",1.04614044659968,27,"OU",1
"pigauto","trait1","continuous","conformal_coverage_95",0.814814814814815,27,"OU",1
"pigauto","trait2","continuous","rmse",1.29189252827681,29,"OU",1
"pigauto","trait2","continuous","pearson_r",-0.0374522426033994,29,"OU",1
"pigauto","trait2","continuous","mae",1.08409915132133,29,"OU",1
"pigauto","trait2","continuous","conformal_coverage_95",0.896551724137931,29,"OU",1
"pigauto","trait3","continuous","rmse",1.09653401411962,28,"OU",1
"pigauto","trait3","continuous","pearson_r",-0.0540328237292652,28,"OU",1
"pigauto","trait3","continuous","mae",0.912429386575969,28,"OU",1
"pigauto","trait3","continuous","conformal_coverage_95",0.678571428571429,28,"OU",1
"baseline","trait1","continuous","rmse",1.38065167843456,27,"OU",1
"baseline","trait1","continuous","pearson_r",-0.185067485805606,27,"OU",1
"baseline","trait1","continuous","mae",1.06238861646353,27,"OU",1
"baseline","trait2","continuous","rmse",1.30899509624446,29,"OU",1
"baseline","trait2","continuous","pearson_r",-0.0424598300207833,29,"OU",1
"baseline","trait2","continuous","mae",1.10717015248075,29,"OU",1
