"dgp","n","arm","trait","metric","n_seeds","mean","mcse","coverage","coverage_mcse"
"bm_mixed",100,"bace","bin","accuracy",20,0.876666666666667,0.0118716331022577,NA,NA
"ou_mixed",100,"bace","bin","accuracy",20,0.898333333333333,0.015,NA,NA
"bm_mixed",300,"bace","bin","accuracy",20,0.938333333333333,0.00709514838493802,NA,NA
"ou_mixed",300,"bace","bin","accuracy",20,0.947777777777778,0.00721434568243933,NA,NA
"bm_mixed",1000,"bace","bin","accuracy",20,0.966833333333333,0.00382722625653533,NA,NA
"ou_mixed",1000,"bace","bin","accuracy",20,0.966666666666667,0.00369921755595907,NA,NA
"bm_mixed",100,"floor","bin","accuracy",20,0.426666666666667,0.00955133865881838,NA,NA
"ou_mixed",100,"floor","bin","accuracy",20,0.436666666666667,0.0118222705886536,NA,NA
"bm_mixed",300,"floor","bin","accuracy",20,0.462222222222222,0.00695291880594239,NA,NA
"ou_mixed",300,"floor","bin","accuracy",20,0.463888888888889,0.00711344077336189,NA,NA
"bm_mixed",1000,"floor","bin","accuracy",20,0.481166666666667,0.00286412576090314,NA,NA
"ou_mixed",1000,"floor","bin","accuracy",20,0.480666666666667,0.00355902608401044,NA,NA
"bm_mixed",100,"gnn_off","bin","accuracy",20,0.863333333333333,0.0307698492965272,NA,NA
"ou_mixed",100,"gnn_off","bin","accuracy",20,0.921666666666667,0.016271634271681,NA,NA
"bm_mixed",300,"gnn_off","bin","accuracy",20,0.952222222222222,0.00645371384182602,NA,NA
"ou_mixed",300,"gnn_off","bin","accuracy",20,0.961666666666667,0.00572689016440561,NA,NA
"bm_mixed",1000,"gnn_off","bin","accuracy",20,0.974166666666667,0.00334974032335615,NA,NA
"ou_mixed",1000,"gnn_off","bin","accuracy",20,0.973666666666667,0.00260341655863555,NA,NA
"bm_mixed",100,"gnn_off_pure","bin","accuracy",20,0.908333333333333,0.0158344874925602,NA,NA
"ou_mixed",100,"gnn_off_pure","bin","accuracy",20,0.921666666666667,0.016271634271681,NA,NA
"bm_mixed",300,"gnn_off_pure","bin","accuracy",20,0.952222222222222,0.00645371384182602,NA,NA
"ou_mixed",300,"gnn_off_pure","bin","accuracy",20,0.961666666666667,0.00572689016440561,NA,NA
"bm_mixed",1000,"gnn_off_pure","bin","accuracy",20,0.974166666666667,0.00334974032335615,NA,NA
"ou_mixed",1000,"gnn_off_pure","bin","accuracy",20,0.973666666666667,0.00260341655863555,NA,NA
"bm_mixed",100,"gnn_on","bin","accuracy",20,0.835,0.0283539656559899,NA,NA
"ou_mixed",100,"gnn_on","bin","accuracy",20,0.92,0.0131122013621437,NA,NA
"bm_mixed",300,"gnn_on","bin","accuracy",20,0.944444444444444,0.007209840939145,NA,NA
"ou_mixed",300,"gnn_on","bin","accuracy",20,0.951666666666667,0.00666057226310133,NA,NA
"bm_mixed",1000,"gnn_on","bin","accuracy",20,0.968833333333333,0.00390137927327222,NA,NA
"ou_mixed",1000,"gnn_on","bin","accuracy",20,0.969,0.00294292689570269,NA,NA
"bm_mixed",100,"gnn_on_full","bin","accuracy",20,0.863333333333333,0.0307698492965272,NA,NA
"ou_mixed",100,"gnn_on_full","bin","accuracy",20,0.921666666666667,0.016271634271681,NA,NA
"bm_mixed",300,"gnn_on_full","bin","accuracy",20,0.952222222222222,0.00645371384182602,NA,NA
"ou_mixed",300,"gnn_on_full","bin","accuracy",20,0.961666666666667,0.00572689016440561,NA,NA
"bm_mixed",1000,"gnn_on_full","bin","accuracy",20,0.974166666666667,0.00334974032335615,NA,NA
"ou_mixed",1000,"gnn_on_full","bin","accuracy",20,0.973666666666667,0.00260341655863555,NA,NA
"bm_mixed",100,"rphylopars","bin","accuracy",20,NA,NA,NA,NA
"ou_mixed",100,"rphylopars","bin","accuracy",20,NA,NA,NA,NA
"bm_mixed",300,"rphylopars","bin","accuracy",20,NA,NA,NA,NA
"ou_mixed",300,"rphylopars","bin","accuracy",20,NA,NA,NA,NA
"bm_mixed",1000,"rphylopars","bin","accuracy",20,NA,NA,NA,NA
"ou_mixed",1000,"rphylopars","bin","accuracy",20,NA,NA,NA,NA
"bm_mixed",100,"bace","cat3","accuracy",20,0.758333333333333,0.0242881098626829,NA,NA
"ou_mixed",100,"bace","cat3","accuracy",20,0.785,0.028559469092646,NA,NA
"bm_mixed",300,"bace","cat3","accuracy",20,0.887222222222222,0.0114075941100136,NA,NA
"ou_mixed",300,"bace","cat3","accuracy",20,0.912777777777778,0.0079092891653242,NA,NA
"bm_mixed",1000,"bace","cat3","accuracy",20,0.9385,0.00471078766957674,NA,NA
"ou_mixed",1000,"bace","cat3","accuracy",20,0.941166666666667,0.00453881892048829,NA,NA
"bm_mixed",100,"floor","cat3","accuracy",20,0.243333333333333,0.0130451308386114,NA,NA
"ou_mixed",100,"floor","cat3","accuracy",20,0.283333333333333,0.00952067617629132,NA,NA
"bm_mixed",300,"floor","cat3","accuracy",20,0.298333333333333,0.00371805212859223,NA,NA
"ou_mixed",300,"floor","cat3","accuracy",20,0.301111111111111,0.00402235468748951,NA,NA
"bm_mixed",1000,"floor","cat3","accuracy",20,0.306166666666667,0.00292473820490851,NA,NA
"ou_mixed",1000,"floor","cat3","accuracy",20,0.307166666666667,0.00277072203311615,NA,NA
"bm_mixed",100,"gnn_off","cat3","accuracy",20,0.765,0.0237525006378214,NA,NA
"ou_mixed",100,"gnn_off","cat3","accuracy",20,0.788333333333333,0.0377181762379022,NA,NA
"bm_mixed",300,"gnn_off","cat3","accuracy",20,0.904444444444444,0.0109461437811548,NA,NA
"ou_mixed",300,"gnn_off","cat3","accuracy",20,0.916666666666667,0.00695758989737014,NA,NA
"bm_mixed",1000,"gnn_off","cat3","accuracy",20,0.944666666666667,0.00445510417570389,NA,NA
"ou_mixed",1000,"gnn_off","cat3","accuracy",20,0.9445,0.00448046441828398,NA,NA
"bm_mixed",100,"gnn_off_pure","cat3","accuracy",20,0.765,0.0237525006378214,NA,NA
"ou_mixed",100,"gnn_off_pure","cat3","accuracy",20,0.806666666666667,0.0296766196590172,NA,NA
"bm_mixed",300,"gnn_off_pure","cat3","accuracy",20,0.904444444444444,0.0109461437811548,NA,NA
"ou_mixed",300,"gnn_off_pure","cat3","accuracy",20,0.916666666666667,0.00695758989737014,NA,NA
"bm_mixed",1000,"gnn_off_pure","cat3","accuracy",20,0.944333333333333,0.00445969605341988,NA,NA
"ou_mixed",1000,"gnn_off_pure","cat3","accuracy",20,0.9445,0.00448046441828398,NA,NA
"bm_mixed",100,"gnn_on","cat3","accuracy",20,0.768333333333333,0.0197165587783081,NA,NA
"ou_mixed",100,"gnn_on","cat3","accuracy",20,0.77,0.0309593206024251,NA,NA
"bm_mixed",300,"gnn_on","cat3","accuracy",20,0.886666666666667,0.0093519724771716,NA,NA
"ou_mixed",300,"gnn_on","cat3","accuracy",20,0.898333333333333,0.00905814729890329,NA,NA
"bm_mixed",1000,"gnn_on","cat3","accuracy",20,0.937166666666667,0.00410587227449941,NA,NA
"ou_mixed",1000,"gnn_on","cat3","accuracy",20,0.934333333333333,0.00447278972825868,NA,NA
"bm_mixed",100,"gnn_on_full","cat3","accuracy",20,0.765,0.0237525006378214,NA,NA
"ou_mixed",100,"gnn_on_full","cat3","accuracy",20,0.806666666666667,0.0293795489199008,NA,NA
"bm_mixed",300,"gnn_on_full","cat3","accuracy",20,0.903888888888889,0.0110605575096218,NA,NA
"ou_mixed",300,"gnn_on_full","cat3","accuracy",20,0.916666666666667,0.00695758989737014,NA,NA
