"dgp","n","lambda","rho","evo","miss","frac","trait","arm","n_reps","n_cells","ece","ece_mcse"
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","bace",100,3000,0.1709,0.00936481204330151
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","bace",100,9000,0.110733333333333,0.006521696869266
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","bace",100,30000,0.0696783333333334,0.00306819451940026
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","bace",100,3000,0.112230952380952,0.009993183963667
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","bace",100,9000,0.0794611111111111,0.00494550827636942
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"bin","bace",100,30000,0.0436421428571427,0.00315185689654159
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","bace",100,3000,0.0133595238095238,0.00464703237663834
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","bace",100,9000,0.0123145502645502,0.00322951166693968
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","bace",100,30000,0.00368342857142863,0.00199937595367084
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","bace",100,3000,0.157083333333333,0.00814103860889326
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","bace",100,9000,0.0867944444444444,0.00534616827837631
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","bace",100,30000,0.0503100000000001,0.00285570878885911
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","bace",98,2940,0.0925510204081633,0.008542132179319
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","bace",99,8910,0.0656220939554272,0.00463709521658393
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","bace",100,30000,0.0289814285714285,0.00209901372821235
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","bace",100,3000,0.0197,0.00566787492869599
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","bace",100,9000,0.0121193121693122,0.00334399076201858
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","bace",100,30000,0.00581847619047634,0.00209978945771591
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","floor",200,6000,0.0255238095238095,0.0063737591959278
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","floor",200,18000,0.0148015873015872,0.00338625521319407
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","floor",200,60000,0.00652142857142873,0.00183049877349075
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","floor",200,6000,0.0155714285714286,0.00582791122273007
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","floor",200,18000,0.00855555555555558,0.00271221082634027
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"bin","floor",200,60000,0.00594761904761905,0.00147901780416505
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","floor",200,6000,0.0206904761904762,0.00560331345390702
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","floor",200,18000,0.0066984126984127,0.00260908179051132
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","floor",200,60000,0.00337380952380959,0.00139382813828196
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","floor",200,6000,0.031952380952381,0.00646898691181566
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","floor",200,18000,0.0192301587301587,0.00381609393291577
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","floor",200,60000,0.00639761904761903,0.00187608410057583
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","floor",200,6060,0.0225365393682225,0.00591577851933659
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","floor",200,18090,0.00822711837637224,0.00290889563512999
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","floor",200,60000,0.0066476190476189,0.00164719061478229
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","floor",200,6000,0.0143809523809524,0.00468209710295363
