"dgp","n","arm","n_failed","n_divergent"
"types_mixed",100,"bace",114,7
"types_mixed",100,"freq",32,4
"types_mixed",100,"freq_lambda",32,1
"types_mixed",100,"gnn_off_rphylopars",0,28
"types_mixed",100,"gnn_on",32,0
"types_mixed",300,"bace",114,0
"types_mixed",300,"freq",29,6
"types_mixed",300,"freq_lambda",29,0
"types_mixed",300,"gnn_off_rphylopars",0,10
"types_mixed",300,"gnn_on",29,0
"types_mixed",1000,"bace",96,0
"types_mixed",1000,"freq",16,0
"types_mixed",1000,"freq_lambda",16,0
"types_mixed",1000,"gnn_off_rphylopars",0,12
"types_mixed",1000,"gnn_on",16,0
"types_mixed",100,"bace",459,45
"types_mixed",100,"freq",108,31
"types_mixed",100,"freq_lambda",108,4
"types_mixed",100,"gnn_off",0,1
"types_mixed",100,"gnn_off_rphylopars",0,54
"types_mixed",100,"gnn_on",108,1
"types_mixed",100,"gnn_on_full",0,1
"types_mixed",1000,"bace",318,4
"types_mixed",1000,"freq",52,5
"types_mixed",1000,"freq_lambda",100,16
"types_mixed",1000,"gnn_off_rphylopars",0,26
"types_mixed",1000,"gnn_on",52,0
