"dgp","n","lambda","rho","evo","miss","frac","trait","metric","arm","reference","n_common_seeds","mean_diff","mcse_diff"
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0.0128333333333333,0.00782156355882543
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.126666666666667,0.0119012019689305
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.0825,0.00962425717002712
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.0833333333333333,0.0097369076294404
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0821666666666667,0.00962118190566341
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.079,0.00990549988507391
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,0.0716666666666667,0.0109277869250752
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.169777777777778,0.0083298982819243
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0.0026111111111111,0.00435987199088566
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.0913888888888889,0.00672846727368816
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.093,0.00667053210104516
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0930555555555556,0.00665476207717939
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.0922222222222222,0.00682621296533478
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,0.0816111111111111,0.0072986326434425
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.173966666666667,0.00629479591947102
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,0.0739666666666667,0.00606038799287903
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0.00166666666666667,0.00231459332645932
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.08725,0.00525058490267629
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0867166666666667,0.00526327931587291
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.0863833333333333,0.0053669261098165
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.0870166666666667,0.00522072265139528
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0.0136666666666667,0.00506347205996694
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.0673333333333333,0.0123362904817749
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.0248333333333333,0.0109819340504555
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0353333333333333,0.0106453933594142
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,-0.00683333333333333,0.0134382337034966
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.037,0.0106719783675782
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.0366666666666667,0.0107921844459063
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.0763333333333333,0.0103072332485036
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0.00422222222222222,0.00271887292677223
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0458333333333333,0.00649410843629869
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.0228888888888889,0.00644409787473737
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.0469444444444444,0.00652103997876225
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.0472222222222222,0.00649354119876671
