"dgp","n","arm","trait","metric","n_seeds","mean","mcse","coverage","coverage_mcse"
"types_mixed",100,"bace","bin","accuracy",597,0.760078168620882,0.00608946792603558,NA,NA
"types_mixed",300,"bace","bin","accuracy",599,0.79259877573734,0.00506918739636333,NA,NA
"types_mixed",1000,"bace","bin","accuracy",580,0.822574712643678,0.00495053236042635,NA,NA
"types_mixed",100,"floor","bin","accuracy",1200,0.671833333333333,0.00479518818553092,NA,NA
"types_mixed",300,"floor","bin","accuracy",1200,0.688277777777778,0.00411082568233925,NA,NA
"types_mixed",1000,"floor","bin","accuracy",1200,0.687491666666667,0.00403825333282546,NA,NA
"types_mixed",100,"freq","bin","accuracy",1200,0.734083333333334,0.00604317248337786,NA,NA
"types_mixed",300,"freq","bin","accuracy",1200,0.74012037037037,0.00605593592321758,NA,NA
"types_mixed",1000,"freq","bin","accuracy",1200,0.759130555555556,0.0058955106377467,NA,NA
"types_mixed",100,"freq_lambda","bin","accuracy",1200,0.737138888888889,0.00592867328097946,NA,NA
"types_mixed",300,"freq_lambda","bin","accuracy",1200,0.741564814814815,0.00602305394170397,NA,NA
"types_mixed",1000,"freq_lambda","bin","accuracy",1200,0.759325,0.00588033987649855,NA,NA
"types_mixed",100,"gnn_off","bin","accuracy",1200,0.753972222222222,0.00527009345286258,NA,NA
"types_mixed",300,"gnn_off","bin","accuracy",1200,0.78562037037037,0.00484640154285365,NA,NA
"types_mixed",1000,"gnn_off","bin","accuracy",1200,0.799522222222222,0.00475526146052827,NA,NA
"types_mixed",100,"gnn_off_rphylopars","bin","accuracy",1200,0.748583333333333,0.005258128058705,NA,NA
"types_mixed",300,"gnn_off_rphylopars","bin","accuracy",1200,0.779851851851852,0.00490062094532853,NA,NA
"types_mixed",1000,"gnn_off_rphylopars","bin","accuracy",1200,0.798661111111111,0.00472699889512963,NA,NA
"types_mixed",100,"gnn_on","bin","accuracy",1200,0.753861111111111,0.00522143490073324,NA,NA
"types_mixed",300,"gnn_on","bin","accuracy",1200,0.784583333333333,0.0048160812471481,NA,NA
"types_mixed",1000,"gnn_on","bin","accuracy",1200,0.798791666666666,0.0047249538119605,NA,NA
"types_mixed",100,"gnn_on_full","bin","accuracy",1168,0.747859589041096,0.00527083272102186,NA,NA
