"dgp","n","lambda","rho","evo","miss","frac","arm","trait","metric","reps","mean","mcse"
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bace","bin","accuracy",100,0.646666666666667,0.0100168208697521
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bace","bin","accuracy",100,0.690222222222222,0.00616576923935746
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bace","bin","accuracy",100,0.7284,0.00611074011729715
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bace","bin","accuracy",100,0.742,0.0132795210385144
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bace","bin","accuracy",100,0.798888888888889,0.00898586272396129
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"bace","bin","accuracy",100,0.823833333333333,0.00780548815528613
"types_mixed",100,1,0,"BM","mcar",0.3,"bace","bin","accuracy",100,0.855,0.0150746366095948
"types_mixed",300,1,0,"BM","mcar",0.3,"bace","bin","accuracy",100,0.848111111111111,0.0162955731397552
"types_mixed",1000,1,0,"BM","mcar",0.3,"bace","bin","accuracy",93,0.890358422939068,0.0154374898743303
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bace","bin","accuracy",100,0.69,0.00929018404773839
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bace","bin","accuracy",100,0.726777777777778,0.00640935335663285
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bace","bin","accuracy",97,0.756460481099656,0.00489382652638267
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bace","bin","accuracy",97,0.788316151202749,0.0113943136276561
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bace","bin","accuracy",99,0.812345679012346,0.00735722866859646
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bace","bin","accuracy",90,0.847259259259259,0.00688461423047429
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bace","bin","accuracy",100,0.839333333333333,0.0165916155315983
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bace","bin","accuracy",100,0.879444444444444,0.0137870565403168
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bace","bin","accuracy",100,0.894366666666667,0.015265528238912
"types_mixed",100,0.3,0,"BM","mcar",0.3,"floor","bin","accuracy",200,0.6045,0.00894388954793566
"types_mixed",300,0.3,0,"BM","mcar",0.3,"floor","bin","accuracy",200,0.616944444444444,0.00736393522725067
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"floor","bin","accuracy",200,0.624533333333333,0.00692066553087814
"types_mixed",100,0.7,0,"BM","mcar",0.3,"floor","bin","accuracy",200,0.683833333333333,0.0110629322572463
"types_mixed",300,0.7,0,"BM","mcar",0.3,"floor","bin","accuracy",200,0.6945,0.00980199702757776
