"dataset","arm","seed","trait","n_masked","n_matched","model_coverage","split_coverage","mondrian_coverage","model_mean_width","split_mean_width","mondrian_mean_width","model_median_width","split_median_width","mondrian_median_width","split_n_interval","mondrian_n_interval","split_status","mondrian_status"
"pantheria","mcar",20260818,"body_mass_g",695,695,0.942446043165468,0.959712230215827,0.959712230215827,3.02576759238019,4.66810644093463,4.49004199517898,2.3584926621039,3.82694492205609,4.10913369735617,695,695,"ok","ok"
"pantheria","mcar",20260818,"head_body_length_mm",382,382,0.955497382198953,0.981675392670157,0.971204188481675,0.753851790365311,1.8560652610166,1.67069515612063,0.657446778150379,1.75108501761067,1.4079628294705,382,382,"ok","ok"
"pantheria","mcar",20260818,"gestation_d",271,271,0.92619926199262,0.915129151291513,0.952029520295203,1.00156634063615,1.03050261021689,1.20521267331598,0.942980446533035,1.01313813016016,1.14080963056747,271,271,"ok","ok"
"pantheria","mcar",20260818,"max_longevity_m",202,202,0.95049504950495,0.945544554455445,0.955445544554455,1.94904301414878,2.62150945597344,2.75436275859285,1.92048330662318,2.70274673189931,2.84506489078221,202,202,"ok","ok"
"pantheria","mcar",20260819,"body_mass_g",695,695,0.932374100719425,0.948201438848921,0.949640287769784,2.64298485941767,4.320520849547,3.86543597131442,2.25315304358163,3.58730974590272,3.44658971609249,695,695,"ok","ok"
"pantheria","mcar",20260819,"head_body_length_mm",382,382,0.918848167539267,0.950261780104712,0.968586387434555,0.747747929365266,1.43869283572282,1.44555688407014,0.647278205810573,1.36167616046373,1.46028074588246,382,382,"ok","ok"
"pantheria","mcar",20260819,"gestation_d",271,271,0.915129151291513,0.929889298892989,0.937269372693727,0.890262096022916,1.17721079836497,1.22467380814416,0.81842859722439,1.15002881587246,1.22944861134761,271,271,"ok","ok"
"pantheria","mcar",20260819,"max_longevity_m",202,202,0.955445544554455,0.94059405940594,0.95049504950495,1.9352186223958,1.93469766561718,1.98114789540163,1.95463384008276,1.99268292013392,2.02875101191216,202,202,"ok","ok"
"pantheria","mcar",20260820,"body_mass_g",695,695,0.941007194244604,0.953956834532374,0.96978417266187,2.96713977350885,4.67905544896463,4.66772214469072,2.41962598471999,3.80686041008963,4.00712579995755,695,695,"ok","ok"
"pantheria","mcar",20260820,"head_body_length_mm",382,382,0.952879581151832,0.963350785340314,0.965968586387435,0.767423819841131,1.25048870750977,1.28441893087978,0.689834650076715,1.19030229648449,1.22396563087321,382,382,"ok","ok"
"pantheria","mcar",20260820,"gestation_d",271,271,0.952029520295203,0.929889298892989,0.929889298892989,0.938527798211582,0.897270072757943,0.904172408296548,0.918846821518292,0.881266913584424,0.890443564846607,271,271,"ok","ok"
"pantheria","mcar",20260820,"max_longevity_m",202,202,0.930693069306931,0.97029702970297,0.94059405940594,1.85157515701257,2.90233254805866,2.29624205408077,1.84793001885344,2.99048216048559,2.2093751836778,202,202,"ok","ok"
"pantheria","structured",20260818,"body_mass_g",695,695,0.917985611510791,0.932374100719425,0.942446043165468,2.37034597809683,3.26909832062044,3.24898454389879,1.87171960469588,3.02969195096365,2.77159878814997,695,695,"ok","ok"
"pantheria","structured",20260818,"head_body_length_mm",382,382,0.93717277486911,0.93455497382199,0.93717277486911,0.743989575833545,1.19843254379899,1.47252824307632,0.614874242306097,1.15060079809675,1.34195837929009,382,382,"ok","ok"
"pantheria","structured",20260818,"gestation_d",271,271,0.940959409594096,0.970479704797048,0.96309963099631,0.949104627626736,1.35636066278577,1.31417674541872,0.831776144533941,1.34363695367331,1.1907887193839,271,271,"ok","ok"
"pantheria","structured",20260818,"max_longevity_m",202,202,0.915841584158416,0.975247524752475,0.99009900990099,1.90066462123566,3.56041160276802,3.87468036127617,1.86096833270624,3.67166633875793,3.81967568000577,202,202,"ok","ok"
"pantheria","structured",20260819,"body_mass_g",695,695,0.869064748201439,0.925179856115108,0.942446043165468,2.28904720106976,3.1837450400019,3.54078024752207,1.73722213118329,2.88584719711989,3.29236780196819,695,695,"ok","ok"
"pantheria","structured",20260819,"head_body_length_mm",382,382,0.93979057591623,0.947643979057592,0.960732984293194,0.757541088649969,1.16485462251136,1.23253403531071,0.626146752666998,1.09408116922446,1.31071192641527,382,382,"ok","ok"
"pantheria","structured",20260819,"gestation_d",271,271,0.918819188191882,0.952029520295203,0.96309963099631,0.9144017157649,1.57378872909994,1.77968422286487,0.73202625622822,1.48654360549373,1.96267682026425,271,271,"ok","ok"
"pantheria","structured",20260819,"max_longevity_m",202,202,0.925742574257426,0.97029702970297,0.96039603960396,1.83316496274189,2.97297115756556,2.78649714366531,1.82520020166671,3.01595175807703,2.64019404984024,202,202,"ok","ok"
"pantheria","structured",20260820,"body_mass_g",695,695,0.871942446043166,0.900719424460432,0.912230215827338,2.21179395470984,2.81187769915933,2.77192197256142,1.72869471060254,2.59885950869494,2.55968307883351,695,695,"ok","ok"
"pantheria","structured",20260820,"head_body_length_mm",382,382,0.947643979057592,0.931937172774869,0.93455497382199,0.769642731094186,1.02833267992462,1.06432027327001,0.658770087423779,0.987318500732397,1.01238971879269,382,382,"ok","ok"
"pantheria","structured",20260820,"gestation_d",271,271,0.944649446494465,0.981549815498155,0.970479704797048,0.960264035204637,1.51982769066502,1.24466742721118,0.872250823225543,1.3974974859913,1.2428649990271,271,271,"ok","ok"
"pantheria","structured",20260820,"max_longevity_m",202,202,0.945544554455445,0.930693069306931,0.935643564356436,1.89581156073111,2.12761183046528,2.22881135122961,1.85435687347633,2.1596163135159,2.18574489322766,202,202,"ok","ok"
"avonet","mcar",20260818,"Mass",300,300,0.913333333333333,0.963333333333333,0.943333333333333,341.507445355679,733.614647546855,874.092837738445,40.7957572879889,115.672914036179,100.697035664576,300,300,"ok","ok"
"avonet","mcar",20260818,"Beak.Length_Culmen",300,300,0.946666666666667,0.973333333333333,0.963333333333333,17.2603820915093,35.6967102670017,32.2224823173996,12.1869920741412,28.5766091328352,23.6835182069303,300,300,"ok","ok"
"avonet","mcar",20260818,"Tarsus.Length",300,300,0.93,0.986666666666667,0.98,17.808175006155,43.4323667786585,85.4319211459449,12.03045192037,33.5660643889971,31.7462544631517,300,300,"ok","ok"
"avonet","mcar",20260818,"Wing.Length",300,300,0.983333333333333,0.953333333333333,0.923333333333333,88.2806668778749,128.975409919308,129.838067505144,59.8526575201997,102.832120141227,95.3173939122655,300,300,"ok","ok"
"avonet","mcar",20260819,"Mass",300,300,0.966666666666667,0.99,0.986666666666667,267.663281461496,611.744254626524,642.61136031939,39.584320622634,108.919015487991,114.789372001387,300,300,"ok","ok"
"avonet","mcar",20260819,"Beak.Length_Culmen",300,300,0.963333333333333,0.956666666666667,0.96,16.8035694382646,29.1394232391795,28.904860979347,11.6224757637653,23.992709890533,22.7950082789756,300,300,"ok","ok"
"avonet","mcar",20260819,"Tarsus.Length",300,300,0.946666666666667,0.953333333333333,0.96,18.4672544446433,33.8114024957727,38.5543800039296,11.9382413278461,26.2324394495721,29.7729710159674,300,300,"ok","ok"
"avonet","mcar",20260819,"Wing.Length",300,300,0.983333333333333,0.94,0.97,81.4847608277114,95.0109764114822,132.095009501421,54.1769831246877,71.1566525831903,93.3774532210209,300,300,"ok","ok"
"avonet","mcar",20260820,"Mass",300,300,0.963333333333333,0.906666666666667,0.926666666666667,436.39655124975,531.57560776842,705.150556231938,39.8083027513567,80.7270033714307,86.8441136171641,300,300,"ok","ok"
"avonet","mcar",20260820,"Beak.Length_Culmen",300,300,0.946666666666667,0.963333333333333,0.98,19.2779117040478,34.0619389490435,38.7120693918652,12.843596668482,26.5365654790063,27.3132722450568,300,300,"ok","ok"
"avonet","mcar",20260820,"Tarsus.Length",300,300,0.953333333333333,0.936666666666667,0.953333333333333,16.2494578790148,22.1007049658983,27.3676834950551,12.0986477291262,17.8569922261115,22.1629502596135,300,300,"ok","ok"
"avonet","mcar",20260820,"Wing.Length",300,300,0.986666666666667,0.98,1,93.8978341637383,152.924240622945,245.635338263658,56.1602445028043,110.187693214481,152.271102452553,300,300,"ok","ok"
"fishbase","structured",20260818,"Length",2047,2047,0.941866145578896,0.93942354665364,0.939912066438691,40.187652773544,66.3553442804036,65.2621352937764,25.1159677549369,42.0604047364305,41.8668480607892,2047,2047,"ok","ok"
"fishbase","structured",20260818,"Weight",377,377,0.938992042440318,0.949602122015915,0.978779840848806,136824.794032063,339982.972762914,324311.162189801,6721.50182022608,64218.7212575922,65038.2115999213,377,377,"ok","ok"
"fishbase","structured",20260818,"DepthRangeDeep",938,938,0.957356076759062,0.96588486140725,0.961620469083156,1897.4672600814,2236.72588192006,2365.43211290417,1822.45485676347,2236.72588192006,3180.2305702826,938,938,"ok","ok"
"fishbase","structured",20260818,"Vulnerability",2097,2097,0.949928469241774,0.954220314735336,0.949451597520267,27.1770809822002,46.4492983272487,43.0025739004012,23.6928749599184,42.4371085282456,39.6200870949942,2097,2097,"ok","ok"
"fishbase","structured",20260818,"Troph",966,966,0.932712215320911,0.938923395445135,0.946169772256729,1.74555520997081,1.80718654852442,1.87667110921528,1.74165376962598,1.83287618295594,1.90775018228592,966,966,"ok","ok"
