"family","n_species","phylo_lambda","miss_frac","n_rep","n_ok","n_fail","fail_rate","mean_delta","sd_delta","mcse","z_ratio","rel_improve","mean_baseline_loss","mean_blend_loss","mean_r_cal_gnn","median_r_cal_gnn","frac_gate_open","frac_gate_material","frac_gate_closed","frac_floor","g4_explore_pass"
"F1",100,0.2,0.1,30,30,0,0,-0.00434057029498581,0.0288232946880129,0.00526238956074783,0.824828767402955,0.00463817413118406,0.935835993263522,0.931495422968536,0.175396241830065,0.05,0.5,0.5,0.5,0.9,FALSE
"F2",100,0.2,0.1,30,30,0,0,-0.0525740600355003,0.053844723975424,0.00983065664132633,5.34797032931537,0.0543486748913767,0.967347596617153,0.914773536581653,0.363725490196078,0.41875,0.833333333333333,0.833333333333333,0.166666666666667,0.9,TRUE
"F3",100,0.2,0.1,30,30,0,0,0.000730517613075465,0.0584303442559459,0.0106678725305913,0.0684782847733345,-0.000951594124444924,0.767677725523563,0.768408243136638,0.105,0,0.466666666666667,0.433333333333333,0.533333333333333,0.966666666666667,FALSE
"F1",300,0.2,0.1,30,30,0,0,-0.00638510698439203,0.0142410670584002,0.00260005122360983,2.45576199669141,0.00663490125934556,0.962351470626381,0.955966363641989,0.382232671689909,0.4125,0.933333333333333,0.866666666666667,0.0666666666666667,0.433333333333333,FALSE
"F2",300,0.2,0.1,30,30,0,0,-0.0615326293266957,0.0326925131647617,0.00596880897395819,10.3090297570523,0.0633978220131551,0.97057954631198,0.909046916985284,0.605797751117991,0.75,0.933333333333333,0.933333333333333,0.0666666666666667,0.566666666666667,TRUE
"F3",300,0.2,0.1,30,30,0,0,0.00604821020708019,0.0300977969077881,0.00549508076586826,1.10065901936285,-0.00812891307315102,0.744036767603878,0.750084977810958,0.132456427015251,0.140277777777778,0.633333333333333,0.533333333333333,0.366666666666667,0.933333333333333,FALSE
"F1",1000,0.2,0.1,30,30,0,0,-0.00345502342842246,0.0077515875763757,0.00141523979068592,2.4412989594844,0.00364750362194044,0.947229608667098,0.943774585238676,0.203472222222222,0.25,0.633333333333333,0.633333333333333,0.366666666666667,0.1,FALSE
"F2",1000,0.2,0.1,30,30,0,0,-0.0417063049446605,0.0174853658686248,0.00319237643749224,13.0643443094144,0.0431839649658608,0.9657822059098,0.92407590096514,0.619959150326797,0.685416666666667,1,1,0,0.133333333333333,TRUE
"F3",1000,0.2,0.1,30,30,0,0,0.000744781335810059,0.0100786087093957,0.00184009377946801,0.404751836085975,-0.00102734501954664,0.724957362560367,0.725702143896177,0.103282569850552,0.116666666666667,0.666666666666667,0.533333333333333,0.333333333333333,0.533333333333333,FALSE
"F1",100,0.5,0.1,30,30,0,0,-0.00236332416254613,0.0314952128519624,0.00575021284414881,0.41099768419024,0.00276348244787865,0.855197819099705,0.852834494937159,0.285672514619883,0.25,0.866666666666667,0.866666666666667,0.133333333333333,0.466666666666667,FALSE
"F2",100,0.5,0.1,30,30,0,0,-0.0657471531392825,0.0611361741263509,0.0111618872161887,5.89032588001121,0.0718289133486612,0.915329914851175,0.849582761711893,0.449633847691123,0.452631578947368,0.966666666666667,0.966666666666667,0.0333333333333333,0.8,TRUE
"F3",100,0.5,0.1,30,30,0,0,0.0170360098192418,0.0609618983111945,0.0111300689511258,1.53062931542025,-0.0236428424866185,0.720556753228124,0.737592763047366,0.130654956427015,0.153125,0.766666666666667,0.7,0.233333333333333,0.866666666666667,FALSE
"F1",300,0.5,0.1,30,30,0,0,-0.009455815628011,0.0129006658198512,0.00235532855878945,4.01464822932004,0.0110133205155245,0.858579900102058,0.849124084474047,0.322374926128796,0.25,0.833333333333333,0.8,0.166666666666667,0,FALSE
"F2",300,0.5,0.1,30,30,0,0,-0.0487634219039628,0.0242866270059618,0.00443411115229313,10.9973386388261,0.0537958910430701,0.906452536773149,0.857689114869186,0.583066505110816,0.536764705882353,1,1,0,0.1,TRUE
"F3",300,0.5,0.1,30,30,0,0,0.0127375791645073,0.0308545753168132,0.00563324896775357,2.26114259061176,-0.0189392777535628,0.672548305708817,0.685285884873324,0.0905555555555556,0.0458333333333333,0.6,0.366666666666667,0.4,0.5,FALSE
"F1",1000,0.5,0.1,30,30,0,0,-0.00137393068394902,0.00416523933798505,0.000760465180940765,1.80669768765658,0.00162809636685894,0.84388781396259,0.842513883278641,0.133221247563353,0.0875,0.566666666666667,0.466666666666667,0.433333333333333,0,FALSE
"F2",1000,0.5,0.1,30,30,0,0,-0.0258027730410298,0.0116081997188511,0.00211935761267995,12.1748084828411,0.0288301293472682,0.894993315160924,0.869190542119894,0.534171506884355,0.5,1,1,0,0.0333333333333333,TRUE
"F3",1000,0.5,0.1,30,30,0,0,0.0035799492314595,0.0158567166186376,0.00289502712666494,1.23658572953808,-0.00542080613336887,0.660409013600836,0.663988962832296,0.092611273554256,0.0666666666666667,0.733333333333333,0.466666666666667,0.266666666666667,0.233333333333333,FALSE
"F1",100,1,0.1,30,30,0,0,-0.00259703808782633,0.0266678880281093,0.00486886794467247,0.533396698644912,0.00431710859967722,0.601568857457167,0.59897181936934,0.246326539387685,0.25,0.833333333333333,0.766666666666667,0.166666666666667,0.0333333333333333,FALSE
"F2",100,1,0.1,30,30,0,0,-0.0301124889830111,0.0553059996572061,0.0100974478592083,2.98218811355884,0.0447841135705933,0.672392207463138,0.642279718480127,0.41407047029338,0.449013157894737,0.966666666666667,0.966666666666667,0.0333333333333333,0.3,FALSE
"F3",100,1,0.1,30,30,0,0,0.0328910972710693,0.0588546559077049,0.0107453408849516,3.06096359559258,-0.0633866447311392,0.518896329196476,0.551787426467546,0.0732165892672859,0.0245098039215686,0.5,0.366666666666667,0.5,0.7,FALSE
"F1",300,1,0.1,30,30,0,0,-0.00294864891209679,0.00644003776637063,0.00117578465194213,2.50781374567724,0.00588522923183529,0.501025328995939,0.498076680083842,0.25208089668616,0.26875,0.866666666666667,0.8,0.133333333333333,0,FALSE
"F2",300,1,0.1,30,30,0,0,-0.0308084472788251,0.0246242810624092,0.00449575806674293,6.85278140448183,0.0507642700340068,0.60689235279433,0.576083905515505,0.522322411420709,0.5,0.966666666666667,0.966666666666667,0.0333333333333333,0,TRUE
"F3",300,1,0.1,30,30,0,0,0.0055400533253453,0.0312015884050495,0.00569660459981242,0.972518493828363,-0.011180078572779,0.4955290152284,0.501069068553745,0.069000687994496,0.0385964912280702,0.533333333333333,0.366666666666667,0.466666666666667,0.5,FALSE
"F1",1000,1,0.1,30,30,0,0,-0.000433150654673274,0.00142633400643278,0.000260411769953317,1.66332979016625,0.00100536501290467,0.430839196822484,0.43040604616781,0.0919956140350877,0.0875,0.633333333333333,0.466666666666667,0.366666666666667,0,FALSE
"F2",1000,1,0.1,30,30,0,0,-0.0175172419213671,0.00817326962331658,0.00149222804708741,11.7389845041164,0.031710316761293,0.552414599110829,0.534897357189462,0.448574561403509,0.445138888888889,1,1,0,0,TRUE
"F3",1000,1,0.1,30,30,0,0,-0.00205867676496954,0.0045773821931296,0.000835711827166518,2.46338115370401,0.00460234775500192,0.447310128343112,0.445251451578142,0.0212654320987654,0,0.366666666666667,0,0.633333333333333,0,FALSE
"F1",100,0.2,0.3,30,30,0,0,-0.00948046749761107,0.0392768159492157,0.00717093269412137,1.32206895560225,0.00955350570753318,0.992354826368658,0.982874358871047,0.17125,0.01875,0.5,0.466666666666667,0.5,0.966666666666667,FALSE
"F2",100,0.2,0.3,30,30,0,0,-0.0134489922254876,0.0314291672189029,0.005738154616465,2.34378352003572,0.0139343581973245,0.965167683723668,0.95171869149818,0.166875,0.21875,0.633333333333333,0.566666666666667,0.366666666666667,0.966666666666667,FALSE
"F3",100,0.2,0.3,30,30,0,0,-0.0098791970476884,0.0679975988012454,0.0124146062398761,0.795772081433892,0.0133217921961476,0.741581680770045,0.731702483722357,0.0562703053931124,0,0.233333333333333,0.233333333333333,0.766666666666667,1,FALSE
"F1",300,0.2,0.3,30,30,0,0,0.000411130888868728,0.0201471036771838,0.00367834105079629,0.111770736642195,-0.000432143239448458,0.951376421839788,0.951787552728656,0.241145833333333,0.25,0.7,0.666666666666667,0.3,0.6,FALSE
"F2",300,0.2,0.3,30,30,0,0,-0.0328857388589311,0.0273114464222427,0.00498636509451869,6.59513257364189,0.0337707750158883,0.973792838436762,0.940907099577831,0.428984582668793,0.41875,0.933333333333333,0.9,0.0666666666666667,0.7,TRUE
"F3",300,0.2,0.3,30,30,0,0,0.00834460300889877,0.0358299239589137,0.00654161919533061,1.27561736012624,-0.0113321943087941,0.73636250681151,0.744707109820409,0.087340702812839,0.0196078431372549,0.5,0.433333333333333,0.5,0.9,FALSE
"F1",1000,0.2,0.3,30,30,0,0,-0.0011913170855779,0.00742168914643187,0.00135500885343067,0.879195056594411,0.00123953997059404,0.961096143601542,0.959904826515964,0.237584586466165,0.241071428571429,0.733333333333333,0.7,0.266666666666667,0.233333333333333,FALSE
"F2",1000,0.2,0.3,30,30,0,0,-0.0297093549334692,0.0181762905420091,0.00331852144720873,8.95258789376163,0.0306732925968745,0.968574040091688,0.938864685158219,0.572534399724802,0.6,1,1,0,0.333333333333333,TRUE
"F3",1000,0.2,0.3,30,30,0,0,0.000944298542208319,0.0188046499806599,0.00343324366013217,0.275045594105012,-0.001280762743092,0.737293887803612,0.738238186345821,0.0672488820089439,0.0208333333333333,0.5,0.233333333333333,0.5,0.6,FALSE
"F1",100,0.5,0.3,30,30,0,0,0.00532946311333204,0.0526155074982253,0.00960623344378673,0.554792171616349,-0.00622952641416459,0.855516576864334,0.860846039977666,0.275137496519075,0.25,0.766666666666667,0.7,0.233333333333333,0.7,FALSE
"F2",100,0.5,0.3,30,30,0,0,-0.0326784662005364,0.0569207701382016,0.0103922632650865,3.14449945762266,0.0345660719865708,0.945391371435905,0.912712905235369,0.299187736498108,0.262061403508772,0.733333333333333,0.733333333333333,0.266666666666667,0.7,TRUE
"F3",100,0.5,0.3,30,30,0,0,0.0255623278722705,0.0812046467613309,0.0148258722684733,1.72417024842633,-0.0364434048631586,0.701425346184161,0.726987674056432,0.0845943562610229,0.0291666666666667,0.5,0.333333333333333,0.5,0.933333333333333,FALSE
"F1",300,0.5,0.3,30,30,0,0,-6.3122125633041e-05,0.0159411334246063,0.00291043945628548,0.0216881768479053,7.28994347322055e-05,0.865879493646538,0.865816371520905,0.230915135059872,0.25,0.733333333333333,0.666666666666667,0.266666666666667,0.166666666666667,FALSE
"F2",300,0.5,0.3,30,30,0,0,-0.0213262321672594,0.0325946833982184,0.00595094778398111,3.58366985250077,0.0239582492698663,0.890141509383271,0.868815277216011,0.45213208675283,0.49375,0.966666666666667,0.966666666666667,0.0333333333333333,0.266666666666667,TRUE
"F3",300,0.5,0.3,30,30,0,0,0.00991590730580609,0.0327730089837151,0.00598350543256675,1.65720703650343,-0.01483809209811,0.668273740332768,0.678189647638574,0.078988791423002,0,0.466666666666667,0.366666666666667,0.533333333333333,0.5,FALSE
"F1",1000,0.5,0.3,30,30,0,0,-0.00107575073511188,0.00392079402990172,0.000715835777836252,1.50278984149625,0.0012638221359671,0.851188394709277,0.850112643974165,0.0871052631578947,0,0.433333333333333,0.333333333333333,0.566666666666667,0,FALSE
"F2",1000,0.5,0.3,30,30,0,0,-0.0133844132041086,0.0154974705795524,0.0028294380735645,4.73041390414565,0.0151862241269167,0.881352276395388,0.86796786319128,0.39166179337232,0.35,0.966666666666667,0.866666666666667,0.0333333333333333,0.0333333333333333,FALSE
"F3",1000,0.5,0.3,30,30,0,0,0.00481444226526064,0.0165510927619182,0.00302180228568769,1.59323536422734,-0.00720436295671489,0.668267589263156,0.673082031528416,0.0880230669265757,0.0725877192982456,0.633333333333333,0.4,0.366666666666667,0.333333333333333,FALSE
"F1",100,1,0.3,30,30,0,0,0.00830617819267211,0.0441769243673484,0.00806556599906545,1.0298320283579,-0.0140254195364566,0.592223153901504,0.600529332094176,0.289527103873079,0.25,0.8,0.8,0.2,0.1,FALSE
"F2",100,1,0.3,30,30,0,0,-0.0227436258994861,0.0785589107305216,0.0143428291667138,1.58571406206723,0.0319714309436015,0.711373411456201,0.688629785556715,0.309249226006192,0.290625,0.766666666666667,0.766666666666667,0.233333333333333,0.366666666666667,FALSE
"F3",100,1,0.3,30,30,0,0,0.0678100663081631,0.0928645259948973,0.0169546652264767,3.99949308360684,-0.131460055192578,0.515822591195684,0.583632657503847,0.0663140387734041,0.025,0.533333333333333,0.333333333333333,0.466666666666667,0.933333333333333,FALSE
"F1",300,1,0.3,30,30,0,0,-0.00423735049436699,0.00900563665402012,0.00164419678003406,2.57715532947293,0.0080661923380997,0.525322273106776,0.521084922612409,0.195360014619883,0.18125,0.7,0.666666666666667,0.3,0,FALSE
"F2",300,1,0.3,30,30,0,0,-0.0165108724166163,0.0194206693886177,0.00354571290199866,4.6565734093444,0.0257458068897276,0.64130335814816,0.624792485731544,0.366751263370845,0.375,0.966666666666667,0.966666666666667,0.0333333333333333,0.133333333333333,TRUE
"F3",300,1,0.3,30,30,0,0,0.0068386109302311,0.0241921729702,0.00441686628361509,1.54829476174087,-0.013376808376336,0.511228892411198,0.51806750334143,0.0535035164163131,0.00416666666666667,0.5,0.266666666666667,0.5,0.4,FALSE
"F1",1000,1,0.3,30,30,0,0,-0.000366527709655296,0.00216772946991435,0.000395771443080269,0.926109541412663,0.000791992985566321,0.462791610954997,0.462425083245342,0.122352941176471,0,0.4,0.4,0.6,0,FALSE
"F2",1000,1,0.3,30,30,0,0,-0.0137240893206754,0.0083954279445432,0.00153278842171185,8.95367496666503,0.0237222243501474,0.578532987383627,0.564808898062951,0.3324042540993,0.276973684210526,0.966666666666667,0.966666666666667,0.0333333333333333,0,TRUE
"F3",1000,1,0.3,30,30,0,0,-0.000940837102056445,0.00763467187223661,0.0013938940011914,0.674970335801924,0.00203102055358235,0.463233668609104,0.462292831507047,0.049329109811566,0,0.466666666666667,0.233333333333333,0.533333333333333,0.0666666666666667,FALSE
"F1",100,0.2,0.5,30,30,0,0,0.00139618639336125,0.0342988245015058,0.00626207995846187,0.222958889478025,-0.0015444197441722,0.904020036411543,0.905416222804904,0.120583333333333,0.0375,0.533333333333333,0.466666666666667,0.466666666666667,0.933333333333333,FALSE
"F2",100,0.2,0.5,30,30,0,0,-0.0126490876874966,0.0402632600968933,0.00735103193125537,1.72072272380082,0.0137920710760539,0.917127501572855,0.904478413885358,0.145122549019608,0,0.466666666666667,0.433333333333333,0.533333333333333,0.966666666666667,FALSE
"F3",100,0.2,0.5,30,30,0,0,-0.0112970877363667,0.0905685025937409,0.0165354706233523,0.683203278194714,0.0153587080506033,0.735549350840287,0.72425226310392,0.0369444444444444,0,0.233333333333333,0.233333333333333,0.766666666666667,1,FALSE
"F1",300,0.2,0.5,30,30,0,0,-0.00330518643312207,0.0186735219899453,0.00340930307398727,0.969461019274114,0.00345327706804327,0.957115912797255,0.953810726364133,0.175233262108262,0.05,0.5,0.5,0.5,0.8,FALSE
"F2",300,0.2,0.5,30,30,0,0,-0.0141464860962103,0.0289327758993302,0.00528237800376831,2.67805259035203,0.0147980975090334,0.955966541481071,0.941820055384861,0.335909586056645,0.25,0.866666666666667,0.866666666666667,0.133333333333333,0.8,FALSE
"F3",300,0.2,0.5,30,30,0,0,0.00678966009780696,0.0431573113238453,0.00787941097778107,0.861696403062733,-0.00929414819011833,0.730530647771016,0.737320307868823,0.0625513067179734,0,0.4,0.3,0.6,1,FALSE
"F1",1000,0.2,0.5,30,30,0,0,0.00209875780561436,0.00959666140485563,0.00175210264272621,1.1978509445935,-0.00222440379967206,0.943514754795769,0.945613512601383,0.148541666666667,0,0.466666666666667,0.433333333333333,0.533333333333333,0.466666666666667,FALSE
"F2",1000,0.2,0.5,30,30,0,0,-0.0168820482675398,0.0152665712885757,0.00278728182350454,6.05681425006152,0.0173776875506499,0.971478409790398,0.954596361522859,0.457750472996216,0.5,0.933333333333333,0.9,0.0666666666666667,0.533333333333333,FALSE
"F3",1000,0.2,0.5,30,30,0,0,0.00354837827899596,0.0188782685083926,0.00344668450289535,1.02950481136733,-0.0047932517600774,0.740286230852739,0.743834609131735,0.0769818063677713,0,0.4,0.366666666666667,0.6,0.6,FALSE
"F1",100,0.5,0.5,30,30,0,0,0.0257027455800185,0.0594425622454274,0.0108526774059085,2.36833222058413,-0.0289317828962297,0.88839134705964,0.914094092639658,0.2222977582846,0.25,0.633333333333333,0.6,0.366666666666667,0.866666666666667,FALSE
"F2",100,0.5,0.5,30,30,0,0,0.00437000514698434,0.0530667062084098,0.00968861068094849,0.451045592695497,-0.00501751961259542,0.870949290564677,0.875319295711662,0.213107907636739,0.25,0.733333333333333,0.7,0.266666666666667,0.866666666666667,FALSE
"F3",100,0.5,0.5,30,30,0,0,0.014008664475143,0.0893183997209767,0.0163072341091474,0.859046014877839,-0.0198470428274503,0.70583132192206,0.719839986397204,0.0416666666666667,0,0.233333333333333,0.2,0.766666666666667,1,FALSE
"F1",300,0.5,0.5,30,30,0,0,0.00814954746516942,0.0280072066477244,0.00511339295122244,1.59376514633422,-0.00939045428518374,0.867854442146402,0.876003989611571,0.236628077231792,0.195588235294118,0.666666666666667,0.633333333333333,0.333333333333333,0.333333333333333,FALSE
"F2",300,0.5,0.5,30,30,0,0,-0.00944223021640889,0.0366312177187488,0.00668791475114722,1.41183471496691,0.0106912479296343,0.883173814558792,0.873731584342383,0.32901193957115,0.25,0.8,0.8,0.2,0.466666666666667,FALSE
