"job_id","cell_id","family","n_species","phylo_lambda","miss_frac","latent_col","r_cal_gnn","r_cal_bm","r_cal_mean","floor_mean_corner"
0,0,"F1",100,0.2,0.1,"trait1",0,1,0,FALSE
0,0,"F1",100,0.2,0.1,"trait2",0,0,1,TRUE
0,0,"F1",100,0.2,0.1,"trait3",0.6,0,0.4,FALSE
0,0,"F1",100,0.2,0.1,"trait4",1,0,0,FALSE
1,1,"F2",100,0.2,0.1,"trait1",0,0,1,TRUE
1,1,"F2",100,0.2,0.1,"trait2",0,1,0,FALSE
1,1,"F2",100,0.2,0.1,"trait3",0,1,0,FALSE
1,1,"F2",100,0.2,0.1,"trait4",1,0,0,FALSE
2,2,"F3",100,0.2,0.1,"cont1",0,0,1,TRUE
2,2,"F3",100,0.2,0.1,"binary_trait",0,0,1,TRUE
2,2,"F3",100,0.2,0.1,"cat_trait=A",0,0,1,TRUE
2,2,"F3",100,0.2,0.1,"cat_trait=B",0,0,1,TRUE
2,2,"F3",100,0.2,0.1,"cat_trait=C",0,0,1,TRUE
2,2,"F3",100,0.2,0.1,"count_trait",0,0,1,TRUE
3,3,"F1",300,0.2,0.1,"trait1",1,0,0,FALSE
3,3,"F1",300,0.2,0.1,"trait2",0,0,1,TRUE
3,3,"F1",300,0.2,0.1,"trait3",0,0,1,TRUE
3,3,"F1",300,0.2,0.1,"trait4",0.9,0.1,0,FALSE
4,4,"F2",300,0.2,0.1,"trait1",0,1,0,FALSE
4,4,"F2",300,0.2,0.1,"trait2",1,0,0,FALSE
4,4,"F2",300,0.2,0.1,"trait3",1,0,0,FALSE
4,4,"F2",300,0.2,0.1,"trait4",1,0,0,FALSE
5,5,"F3",300,0.2,0.1,"cont1",0,1,0,FALSE
5,5,"F3",300,0.2,0.1,"binary_trait",0,1,0,FALSE
5,5,"F3",300,0.2,0.1,"cat_trait=A",0,0,1,TRUE
5,5,"F3",300,0.2,0.1,"cat_trait=B",0,0,1,TRUE
5,5,"F3",300,0.2,0.1,"cat_trait=C",0,0,1,TRUE
5,5,"F3",300,0.2,0.1,"count_trait",0.6,0,0.4,FALSE
6,6,"F1",1000,0.2,0.1,"trait1",0,0,1,TRUE
6,6,"F1",1000,0.2,0.1,"trait2",0,1,0,FALSE
6,6,"F1",1000,0.2,0.1,"trait3",1,0,0,FALSE
6,6,"F1",1000,0.2,0.1,"trait4",0,1,0,FALSE
7,7,"F2",1000,0.2,0.1,"trait1",1,0,0,FALSE
7,7,"F2",1000,0.2,0.1,"trait2",1,0,0,FALSE
7,7,"F2",1000,0.2,0.1,"trait3",0,1,0,FALSE
7,7,"F2",1000,0.2,0.1,"trait4",1,0,0,FALSE
8,8,"F3",1000,0.2,0.1,"cont1",0,0,1,TRUE
8,8,"F3",1000,0.2,0.1,"binary_trait",0,0,1,TRUE
8,8,"F3",1000,0.2,0.1,"cat_trait=A",0,0,1,TRUE
8,8,"F3",1000,0.2,0.1,"cat_trait=B",0,0,1,TRUE
8,8,"F3",1000,0.2,0.1,"cat_trait=C",0,0,1,TRUE
8,8,"F3",1000,0.2,0.1,"count_trait",0,1,0,FALSE
9,9,"F1",100,0.5,0.1,"trait1",0,1,0,FALSE
9,9,"F1",100,0.5,0.1,"trait2",0,1,0,FALSE
9,9,"F1",100,0.5,0.1,"trait3",0,0,1,TRUE
9,9,"F1",100,0.5,0.1,"trait4",0,0.75,0.25,FALSE
10,10,"F2",100,0.5,0.1,"trait1",0,1,0,FALSE
10,10,"F2",100,0.5,0.1,"trait2",1,0,0,FALSE
10,10,"F2",100,0.5,0.1,"trait3",0,1,0,FALSE
10,10,"F2",100,0.5,0.1,"trait4",0,1,0,FALSE
11,11,"F3",100,0.5,0.1,"cont1",1,0,0,FALSE
11,11,"F3",100,0.5,0.1,"binary_trait",0,0,1,TRUE
11,11,"F3",100,0.5,0.1,"cat_trait=A",0,0,1,TRUE
11,11,"F3",100,0.5,0.1,"cat_trait=B",0,0,1,TRUE
11,11,"F3",100,0.5,0.1,"cat_trait=C",0,0,1,TRUE
11,11,"F3",100,0.5,0.1,"count_trait",0,0,1,TRUE
12,12,"F1",300,0.5,0.1,"trait1",0,1,0,FALSE
12,12,"F1",300,0.5,0.1,"trait2",0,1,0,FALSE
12,12,"F1",300,0.5,0.1,"trait3",0,1,0,FALSE
12,12,"F1",300,0.5,0.1,"trait4",0,1,0,FALSE
13,13,"F2",300,0.5,0.1,"trait1",1,0,0,FALSE
13,13,"F2",300,0.5,0.1,"trait2",1,0,0,FALSE
13,13,"F2",300,0.5,0.1,"trait3",0,1,0,FALSE
13,13,"F2",300,0.5,0.1,"trait4",0.733333333333333,0,0.266666666666667,FALSE
14,14,"F3",300,0.5,0.1,"cont1",0,1,0,FALSE
14,14,"F3",300,0.5,0.1,"binary_trait",0,1,0,FALSE
14,14,"F3",300,0.5,0.1,"cat_trait=A",0,0.777777777777778,0.222222222222222,FALSE
14,14,"F3",300,0.5,0.1,"cat_trait=B",0,0.777777777777778,0.222222222222222,FALSE
14,14,"F3",300,0.5,0.1,"cat_trait=C",0,0.777777777777778,0.222222222222222,FALSE
14,14,"F3",300,0.5,0.1,"count_trait",0,1,0,FALSE
15,15,"F1",1000,0.5,0.1,"trait1",0,1,0,FALSE
15,15,"F1",1000,0.5,0.1,"trait2",0,1,0,FALSE
15,15,"F1",1000,0.5,0.1,"trait3",0.6,0.4,0,FALSE
15,15,"F1",1000,0.5,0.1,"trait4",0,1,0,FALSE
16,16,"F2",1000,0.5,0.1,"trait1",0,1,0,FALSE
16,16,"F2",1000,0.5,0.1,"trait2",1,0,0,FALSE
16,16,"F2",1000,0.5,0.1,"trait3",0,1,0,FALSE
16,16,"F2",1000,0.5,0.1,"trait4",1,0,0,FALSE
17,17,"F3",1000,0.5,0.1,"cont1",0,1,0,FALSE
17,17,"F3",1000,0.5,0.1,"binary_trait",0,1,0,FALSE
17,17,"F3",1000,0.5,0.1,"cat_trait=A",0,1,0,FALSE
17,17,"F3",1000,0.5,0.1,"cat_trait=B",0,1,0,FALSE
17,17,"F3",1000,0.5,0.1,"cat_trait=C",0,1,0,FALSE
17,17,"F3",1000,0.5,0.1,"count_trait",0,1,0,FALSE
18,18,"F1",100,1,0.1,"trait1",1,0,0,FALSE
18,18,"F1",100,1,0.1,"trait2",1,0,0,FALSE
18,18,"F1",100,1,0.1,"trait3",0,1,0,FALSE
