"job_id","family","n_species","seed","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","r_cal_bm_mean","r_cal_mean_mean","floor_fired","error"
0,"F1",100,101,TRUE,37.984,1.06769209127779,1.00843593139897,0.0592561598788244,0.25,0.3625,0.3875,TRUE,NA
1,"F2",100,101,TRUE,37.635,0.907323016822906,0.905462456698999,0.00186056012390678,0,0.5,0.5,TRUE,NA
2,"F3",100,101,TRUE,38.921,0.783814741055445,0.81779876175031,-0.0339840206948649,0.333333333333333,0.5,0.166666666666667,TRUE,NA
3,"F1",300,101,TRUE,49.383,0.848301664710117,0.832866867250846,0.0154347974592705,0,0.75,0.25,TRUE,NA
4,"F2",300,101,TRUE,49.398,1.08613664663932,1.06173229742136,0.0244043492179618,0.25,0.5,0.25,TRUE,NA
5,"F3",300,101,TRUE,50.176,0.684072546921046,0.646982645754792,0.037089901166254,0.191666666666667,0.183333333333333,0.625,TRUE,NA
6,"F1",1000,101,TRUE,183.837,0.8860044711948,0.894420134786863,-0.00841566359206347,0.375,0.625,0,FALSE,NA
7,"F2",1000,101,TRUE,185.982,0.86547228367665,0.876543778994121,-0.0110714953174715,0.366447368421053,0.633552631578947,0,FALSE,NA
8,"F3",1000,101,TRUE,194.661,0.627692585105124,0.627692585550722,-4.45597780895923e-10,0,1,0,FALSE,NA
9,"F2",300,112,TRUE,50.386,0.942809988159412,0.967034505623517,-0.0242245174641044,0.485294117647059,0.5,0.0147058823529412,FALSE,NA
10,"F2",300,123,TRUE,49.668,0.782425781717756,0.786429221374861,-0.0040034396571047,0.2125,0.7875,0,FALSE,NA
11,"F2",300,134,TRUE,50.673,0.844462119375104,0.841309971492157,0.00315214788294715,0.694444444444444,0.25,0.0555555555555556,FALSE,NA
