"job_id","seed","method","fit_ok","fit_sec","lambda_mode","r_cal_gnn_mean","gate_open_frac","error"
0,2026,"pigauto_fixed1",TRUE,120.356,"fixed_1",0.167857142857143,0.214285714285714,NA
1,2027,"pigauto_fixed1",TRUE,103.696,"fixed_1",0.178571428571429,0.214285714285714,NA
2,2028,"pigauto_fixed1",TRUE,122.416,"fixed_1",0.0714285714285714,0.0714285714285714,NA
3,2029,"pigauto_fixed1",TRUE,119.547,"fixed_1",0.0857142857142857,0.142857142857143,NA
4,2030,"pigauto_fixed1",TRUE,115.966,"fixed_1",0.253571428571429,0.357142857142857,NA
5,2026,"pigauto_bayes",TRUE,120.857,"bayes",0.153571428571429,0.214285714285714,NA
6,2027,"pigauto_bayes",TRUE,121.981,"bayes",0.142857142857143,0.142857142857143,NA
7,2028,"pigauto_bayes",TRUE,119.168,"bayes",0.0785714285714286,0.142857142857143,NA
8,2029,"pigauto_bayes",TRUE,126.476,"bayes",0.132142857142857,0.214285714285714,NA
9,2030,"pigauto_bayes",TRUE,124.612,"bayes",0.221428571428571,0.285714285714286,NA
10,2026,"bace",TRUE,42.567,NA,NA,NA,NA
11,2027,"bace",TRUE,42.229,NA,NA,NA,NA
12,2028,"bace",TRUE,41.661,NA,NA,NA,NA
13,2029,"bace",TRUE,42.409,NA,NA,NA,NA
14,2030,"bace",TRUE,41.483,NA,NA,NA,NA
