"method","trait","type","metric","n_seeds","mean","sd","mcse"
"pigauto_fixed1","Mass","continuous","rmse",5,0.361605703876241,0.093839081054517,0.0419661128368025
"pigauto_fixed1","Mass","continuous","pearson_r",5,0.951667454399635,0.0135128076812391,0.00604311130842639
"pigauto_fixed1","Mass","continuous","mae",5,0.278118918331741,0.042129850873109,0.0188410420868401
"pigauto_fixed1","Mass","continuous","conformal_coverage_95",5,0.967003367003367,0.045572860109599,0.0203808026268304
"pigauto_fixed1","Beak.Length_Culmen","continuous","rmse",5,0.598495345108366,0.099586743528892,0.0445365456376879
"pigauto_fixed1","Beak.Length_Culmen","continuous","pearson_r",5,0.776020078474397,0.177269655164679,0.0792773998592338
"pigauto_fixed1","Beak.Length_Culmen","continuous","mae",5,0.434295997073641,0.024379929180109,0.0109030357866709
"pigauto_fixed1","Beak.Length_Culmen","continuous","conformal_coverage_95",5,0.92987012987013,0.0775393438424563,0.0346766487524924
"pigauto_fixed1","Tarsus.Length","continuous","rmse",5,0.504873918670572,0.14527778988236,0.0649702027595775
"pigauto_fixed1","Tarsus.Length","continuous","pearson_r",5,0.85611475447488,0.0581646427370669,0.0260120190094142
"pigauto_fixed1","Tarsus.Length","continuous","mae",5,0.34966480051591,0.080535813916644,0.0360167109081779
"pigauto_fixed1","Tarsus.Length","continuous","conformal_coverage_95",5,0.960778032036613,0.0417391555261075,0.0186663178159625
"pigauto_fixed1","Wing.Length","continuous","rmse",5,0.52238786088775,0.0710266541132818,0.0317640853623326
"pigauto_fixed1","Wing.Length","continuous","pearson_r",5,0.844312911600123,0.0685608350427907,0.0306613375499659
"pigauto_fixed1","Wing.Length","continuous","mae",5,0.413527482718285,0.0559010657464996,0.0249997166047716
"pigauto_fixed1","Wing.Length","continuous","conformal_coverage_95",5,0.932605626154013,0.088248439731545,0.0394659020296056
"pigauto_fixed1","Trophic.Level","categorical","accuracy",5,0.732581453634085,0.204712969982718,0.0915504233514463
"pigauto_fixed1","Trophic.Level","categorical","accuracy_Carnivore",5,0.98,0.0447213595499958,0.02
"pigauto_fixed1","Trophic.Level","categorical","accuracy_Herbivore",5,0.614285714285714,0.415269767249961,0.185714285714286
"pigauto_fixed1","Trophic.Level","categorical","accuracy_Omnivore",5,0.37,0.270903836977051,0.121151878969242
"pigauto_fixed1","Primary.Lifestyle","categorical","accuracy",5,0.776612860823387,0.126085891064833,0.0563873246849199
"pigauto_fixed1","Primary.Lifestyle","categorical","accuracy_Aerial",5,0.85,0.223606797749979,0.1
"pigauto_fixed1","Primary.Lifestyle","categorical","accuracy_Generalist",4,0.5,0.577350269189626,0.288675134594813
"pigauto_fixed1","Primary.Lifestyle","categorical","accuracy_Insessorial",5,0.961818181818182,0.0523813101486834,0.0234256340485911
"pigauto_fixed1","Primary.Lifestyle","categorical","accuracy_Terrestrial",5,0.546666666666667,0.194864625374187,0.0871461097493425
"pigauto_fixed1","Migration","ordinal","rmse",5,1.03924505568214,0.255457930298623,0.114244259507825
"pigauto_fixed1","Migration","ordinal","spearman_rho",5,0.470277028144694,0.145774167491498,0.0651921895748857
"pigauto_fixed1","Migration","ordinal","conformal_coverage_95",5,0.897264957264957,0.0895610679535464,0.0400529272163216
"baseline_pigauto_fixed1","Mass","continuous","rmse",5,0.46777983202164,0.157017726161076,0.0702204618737228
"baseline_pigauto_fixed1","Mass","continuous","pearson_r",5,0.886741511509972,0.0724677299449633,0.032408554066407
"baseline_pigauto_fixed1","Mass","continuous","mae",5,0.345339140958053,0.0920862191437151,0.0411822091592579
"baseline_pigauto_fixed1","Beak.Length_Culmen","continuous","rmse",5,0.598421001855773,0.112212881223635,0.0501831260734316
"baseline_pigauto_fixed1","Beak.Length_Culmen","continuous","pearson_r",5,0.766741551908291,0.176123621492902,0.0787648780203145
"baseline_pigauto_fixed1","Beak.Length_Culmen","continuous","mae",5,0.431844315551263,0.0335705654645721,0.015013213284378
"baseline_pigauto_fixed1","Tarsus.Length","continuous","rmse",5,0.550510404077195,0.233560503020876,0.104451432322745
"baseline_pigauto_fixed1","Tarsus.Length","continuous","pearson_r",5,0.807820408707013,0.10657907408865,0.0476636109282414
"baseline_pigauto_fixed1","Tarsus.Length","continuous","mae",5,0.367168834103912,0.108732282758248,0.0486265551192343
