"family","n_species","phylo_lambda","miss_frac","n_rep","n_ok","mean_delta","mcse","z_ratio","rel_improve","mean_r_cal_gnn","frac_gate_open","gnn_res_pass"
"F1",100,0.2,0.1,30,30,-0.00700576955464101,0.00416669098573523,1.68137487964081,0.00742798149610647,0.189117933723197,0.566666666666667,FALSE
"F2",100,0.2,0.1,30,30,-0.0519521627984129,0.010335531492841,5.02655938249507,0.0534509333917693,0.365713141025641,0.833333333333333,TRUE
"F3",100,0.2,0.1,30,30,-0.000883180160124001,0.0106830502237718,0.0826711605416546,0.00114564516834589,0.119166666666667,0.566666666666667,FALSE
"F1",300,0.2,0.1,30,30,-0.00672754475584187,0.00264980632257269,2.53888169053432,0.00697696393044859,0.353663063909774,0.866666666666667,FALSE
"F2",300,0.2,0.1,30,30,-0.0649345629064434,0.00589270876803742,11.0194760105326,0.0667174380535555,0.629557226399332,0.966666666666667,TRUE
"F3",300,0.2,0.1,30,30,0.00844450759712555,0.00515097787695913,1.63939892557076,-0.0113303014864837,0.123235294117647,0.7,FALSE
"F1",1000,0.2,0.1,30,30,-0.00313894913660987,0.00130859122842516,2.3987239624,0.00331094013093692,0.197916666666667,0.633333333333333,FALSE
"F2",1000,0.2,0.1,30,30,-0.0439255663132227,0.00317825826351811,13.8206409521296,0.045464547912993,0.61203947368421,1,TRUE
"F3",1000,0.2,0.1,30,30,0.00208691401046473,0.0019522919095864,1.06895592826938,-0.00287732418403053,0.090942265795207,0.6,FALSE
"F1",100,0.5,0.1,30,30,-0.0062103420657033,0.00469095425232737,1.32389738455073,0.0071789823430937,0.304755331957344,0.8,FALSE
"F2",100,0.5,0.1,30,30,-0.0707030625975187,0.00931653643168376,7.58898579058534,0.0773573566831949,0.49048807917229,0.966666666666667,TRUE
"F3",100,0.5,0.1,30,30,0.0233296692218643,0.0108550583108208,2.14919796410567,-0.0322413970419856,0.115092592592593,0.666666666666667,FALSE
"F1",300,0.5,0.1,30,30,-0.00887724103071156,0.00207592373736034,4.27628475504573,0.010314250756544,0.326536664373352,0.9,FALSE
"F2",300,0.5,0.1,30,30,-0.0546899863097508,0.00409129872737521,13.3673901501779,0.060053583086473,0.615648148148148,1,TRUE
"F3",300,0.5,0.1,30,30,0.0155841613037939,0.00562745994624436,2.76930648154935,-0.02314858647231,0.0633333333333333,0.5,FALSE
