"merge_key","family","n_species","phylo_lambda","miss_frac","mean_delta_fixed1","mcse_fixed1","z_ratio_fixed1","rel_improve_fixed1","g4_explore_pass","mean_delta_bayes","mcse_bayes","z_ratio_bayes","rel_improve_bayes","gnn_res_pass","mean_r_cal_gnn","frac_gate_open","closed","retained","delta_attenuation"
"F1|100|0.2|0.1","F1",100,0.2,0.1,-0.00434057029498581,0.00526238956074783,0.824828767402955,0.00463817413118406,FALSE,-0.00700576955464101,0.00416669098573523,1.68137487964081,0.00742798149610647,FALSE,0.189117933723197,0.566666666666667,FALSE,FALSE,-0.0026651992596552
"F1|100|0.2|0.3","F1",100,0.2,0.3,-0.00948046749761107,0.00717093269412137,1.32206895560225,0.00955350570753318,FALSE,-0.0131444103128624,0.00492694813867797,2.66786049759179,0.0131444950343944,FALSE,0.1746875,0.533333333333333,FALSE,FALSE,-0.00366394281525129
"F1|100|0.2|0.5","F1",100,0.2,0.5,0.00139618639336125,0.00626207995846187,0.222958889478025,-0.0015444197441722,FALSE,-0.00720187910815145,0.00681307930875832,1.05706667745572,0.00783427601788189,FALSE,0.162092267706303,0.566666666666667,FALSE,FALSE,-0.0085980655015127
"F1|100|0.5|0.1","F1",100,0.5,0.1,-0.00236332416254613,0.00575021284414881,0.41099768419024,0.00276348244787865,FALSE,-0.0062103420657033,0.00469095425232737,1.32389738455073,0.0071789823430937,FALSE,0.304755331957344,0.8,FALSE,FALSE,-0.00384701790315717
"F1|100|0.5|0.3","F1",100,0.5,0.3,0.00532946311333204,0.00960623344378673,0.554792171616349,-0.00622952641416459,FALSE,0.00189359558337885,0.00918177731077344,0.206234100358435,-0.00217224423667603,FALSE,0.309347587719298,0.8,FALSE,FALSE,-0.00343586752995319
"F1|100|0.5|0.5","F1",100,0.5,0.5,0.0257027455800185,0.0108526774059085,2.36833222058413,-0.0289317828962297,FALSE,0.0131245069089278,0.00790457595673862,1.66036824502132,-0.0143751045849548,FALSE,0.264343323586745,0.733333333333333,FALSE,FALSE,-0.0125782386710907
"F1|1000|0.2|0.1","F1",1000,0.2,0.1,-0.00345502342842246,0.00141523979068592,2.4412989594844,0.00364750362194044,FALSE,-0.00313894913660987,0.00130859122842516,2.3987239624,0.00331094013093692,FALSE,0.197916666666667,0.633333333333333,FALSE,FALSE,0.00031607429181259
"F1|1000|0.2|0.3","F1",1000,0.2,0.3,-0.0011913170855779,0.00135500885343067,0.879195056594411,0.00123953997059404,FALSE,-0.0018968757057729,0.00108704366541628,1.74498574999423,0.00197059572253445,FALSE,0.227337962962963,0.7,FALSE,FALSE,-0.000705558620194997
"F1|1000|0.2|0.5","F1",1000,0.2,0.5,0.00209875780561436,0.00175210264272621,1.1978509445935,-0.00222440379967206,FALSE,0.000342809847357424,0.00148629381940149,0.230647428444175,-0.000362785749158599,FALSE,0.156127450980392,0.5,FALSE,FALSE,-0.00175594795825694
"F1|1000|0.5|0.1","F1",1000,0.5,0.1,-0.00137393068394902,0.000760465180940765,1.80669768765658,0.00162809636685894,FALSE,-0.00109947403935076,0.000676958898376852,1.62413706649986,0.0013009977457792,FALSE,0.119495614035088,0.566666666666667,FALSE,FALSE,0.000274456644598264
