"job_id","confirm_cell_id","explore_cell_id","rep","family","n_species","phylo_lambda","miss_frac","seed","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","floor_fired","error"
0,0,42,1,"F2",300,1,0.1,60001,"fixed_1",TRUE,62.958,0.479704639467873,0.509137108319306,-0.0294324688514329,0.45,FALSE,NA
1,1,43,1,"F2",300,1,0.3,60101,"fixed_1",TRUE,60.594,0.510310287189208,0.547609027226143,-0.0372987400369348,0.2375,TRUE,NA
2,2,44,1,"F2",300,1,0.5,60201,"fixed_1",TRUE,58.214,0.661965303049161,0.6693470989123,-0.0073817958631397,0.6125,FALSE,NA
3,3,51,1,"F2",1000,1,0.1,60301,"fixed_1",TRUE,338.502,0.543004249130926,0.568488586814829,-0.025484337683903,0.3375,FALSE,NA
4,4,52,1,"F2",1000,1,0.3,60401,"fixed_1",TRUE,256.028,0.515718105343109,0.524188008966561,-0.00846990362345146,0.5125,FALSE,NA
5,0,42,2,"F2",300,1,0.1,60002,"fixed_1",TRUE,64.357,0.648857039187283,0.700090183352301,-0.051233144165018,0.675,FALSE,NA
6,1,43,2,"F2",300,1,0.3,60102,"fixed_1",TRUE,60,0.67933006012315,0.68269153384341,-0.00336147372026052,0.2,FALSE,NA
7,2,44,2,"F2",300,1,0.5,60202,"fixed_1",TRUE,58.391,0.650423171115492,0.694843552358828,-0.0444203812433364,0.1875,FALSE,NA
8,3,51,2,"F2",1000,1,0.1,60302,"fixed_1",TRUE,354.223,0.475112589529186,0.498064905564405,-0.0229523160352189,0.4875,FALSE,NA
9,4,52,2,"F2",1000,1,0.3,60402,"fixed_1",TRUE,233.813,0.580852762335746,0.59385332938404,-0.0130005670482939,0.425,FALSE,NA
10,0,42,3,"F2",300,1,0.1,60003,"fixed_1",TRUE,65.56,0.637290392843571,0.666698360249331,-0.02940796740576,0.2375,FALSE,NA
11,1,43,3,"F2",300,1,0.3,60103,"fixed_1",TRUE,59.138,0.65322293778994,0.692001727518555,-0.0387787897286154,0.6125,FALSE,NA
12,2,44,3,"F2",300,1,0.5,60203,"fixed_1",TRUE,58.604,0.469183999673202,0.469183999758871,-8.56682502714534e-11,0,FALSE,NA
