"missing_mechanism","family","n_species","phylo_lambda","miss_frac","n_rep","n_fail","mean_delta","mcse","mean_r_cal_gnn","frac_gate_open"
"phylo_MAR","F1",100,0.2,0.1,30,0,-0.00394641130607439,0.00509850668066104,0.212916666666667,0.241666666666667
"phylo_MAR","F2",100,0.2,0.1,30,0,-0.081443532009494,0.0135147787486235,0.406365740740741,0.433333333333333
"phylo_MAR","F3",100,0.2,0.1,30,0,0.0162745281210177,0.0101759829419418,0.10952380952381,0.133333333333333
"phylo_MAR","F1",300,0.2,0.1,30,0,-0.00343087541305697,0.0022536703548466,0.307890795206972,0.333333333333333
"phylo_MAR","F2",300,0.2,0.1,30,0,-0.0716786737020356,0.00700638587888915,0.560324074074074,0.575
"phylo_MAR","F3",300,0.2,0.1,30,0,0.0022726812948667,0.0054493236880629,0.142930474333983,0.166666666666667
"phylo_MAR","F1",1000,0.2,0.1,30,0,-0.00541093971891135,0.00146593813554648,0.343163377192982,0.375
"phylo_MAR","F2",1000,0.2,0.1,30,0,-0.056200300797872,0.00269890783741024,0.673101851851852,0.683333333333333
"phylo_MAR","F3",1000,0.2,0.1,30,0,-0.0027543023183273,0.00431565346146336,0.190069205557467,0.305555555555556
"phylo_MAR","F1",100,0.5,0.1,30,0,-0.00395698305465194,0.00514151148472125,0.244299412747555,0.291666666666667
"phylo_MAR","F2",100,0.5,0.1,30,0,-0.0895442431844851,0.011136600521881,0.549055016012253,0.575
"phylo_MAR","F3",100,0.5,0.1,30,0,0.0269252896973746,0.00926038785095383,0.0907263487191248,0.122222222222222
"phylo_MAR","F1",300,0.5,0.1,30,0,-0.00366804976107007,0.0030082210470442,0.278243177387914,0.341666666666667
"phylo_MAR","F2",300,0.5,0.1,30,0,-0.0657018336667046,0.00501635877143213,0.643284600389864,0.683333333333333
"phylo_MAR","F3",300,0.5,0.1,30,0,0.0120032864407759,0.00459076933562462,0.109291938997821,0.138888888888889
"phylo_MAR","F1",1000,0.5,0.1,30,0,-0.00242852189067678,0.000751321814073149,0.22531862745098,0.308333333333333
