"job_id","cell_id","rep","missing_mechanism","g6_mar_label","family","n_species","phylo_lambda","miss_frac","seed","candidate_sha","driver_sha","hostname","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","gate_open_frac","floor_fired","error"
0,0,1,"phylo_MAR",FALSE,"F1",100,0.2,0.1,30001,"6fddd79","HEAD","totoro","fixed_1",TRUE,70.703,0.918104887110594,0.950324132859738,-0.0322192457491439,0.5,0.5,FALSE,NA
1,1,1,"phylo_MAR",FALSE,"F2",100,0.2,0.1,30101,"6fddd79","HEAD","totoro","fixed_1",TRUE,64.575,0.936599434903034,1.05992234528146,-0.123322910378422,0.75,0.75,TRUE,NA
2,2,1,"phylo_MAR",FALSE,"F3",100,0.2,0.1,30201,"6fddd79","HEAD","totoro","fixed_1",TRUE,63.153,0.63703872515282,0.674447453068041,-0.0374087279152212,0.166666666666667,0.166666666666667,TRUE,NA
3,3,1,"phylo_MAR",FALSE,"F1",300,0.2,0.1,30301,"6fddd79","HEAD","totoro","fixed_1",TRUE,86.376,1.06573256387969,1.09964258193654,-0.0339100180568519,0.25,0.25,TRUE,NA
4,4,1,"phylo_MAR",FALSE,"F2",300,0.2,0.1,30401,"6fddd79","HEAD","totoro","fixed_1",TRUE,87.509,0.91593043415177,1.02735484813117,-0.111424413979399,0.5,0.5,TRUE,NA
5,5,1,"phylo_MAR",FALSE,"F3",300,0.2,0.1,30501,"6fddd79","HEAD","totoro","fixed_1",TRUE,86.086,0.847454477760837,0.798336108784215,0.0491183689766218,0.166666666666667,0.166666666666667,TRUE,NA
6,6,1,"phylo_MAR",FALSE,"F1",1000,0.2,0.1,30601,"6fddd79","HEAD","totoro","fixed_1",TRUE,503.67,0.943692044509275,0.946177683582088,-0.00248563907281307,0.2375,0.25,FALSE,NA
7,7,1,"phylo_MAR",FALSE,"F2",1000,0.2,0.1,30701,"6fddd79","HEAD","totoro","fixed_1",TRUE,525.926,0.873105352677525,0.92730815891332,-0.0542028062357955,0.5,0.5,FALSE,NA
8,8,1,"phylo_MAR",FALSE,"F3",1000,0.2,0.1,30801,"6fddd79","HEAD","totoro","fixed_1",TRUE,490.109,0.76792734091914,0.776041081647085,-0.00811374072794502,0.258333333333333,0.333333333333333,TRUE,NA
9,9,1,"phylo_MAR",FALSE,"F1",100,0.5,0.1,30901,"6fddd79","HEAD","totoro","fixed_1",TRUE,69.177,0.79106175056926,0.788867998113114,0.00219375245614617,0.25,0.25,TRUE,NA
10,10,1,"phylo_MAR",FALSE,"F2",100,0.5,0.1,31001,"6fddd79","HEAD","totoro","fixed_1",TRUE,66.188,0.64360573594071,0.718935656000567,-0.0753299200598574,0.25,0.25,FALSE,NA
11,11,1,"phylo_MAR",FALSE,"F3",100,0.5,0.1,31101,"6fddd79","HEAD","totoro","fixed_1",TRUE,67.3,0.737875544124159,0.716788320589918,0.0210872235342406,0.307017543859649,0.333333333333333,TRUE,NA
