"arm","n","lambda","rho","coverage","coverage_se","width","width_se","zrmse","zrmse_se","iscore","iscore_se","width_median","datasets"
"bace",100,0.3,0,0.875833333333333,0.00441393597832711,3.409805961815,0.0253517219543164,1.06619961448363,0.0113619079683092,6.22332477452344,0.146482869418478,3.41146851648857,200
"bace_chain",100,0.3,0,0.946083333333333,0.00228478294592603,3.94383233595285,0.0221001994714823,0.946088174250229,0.00834130492297759,4.79274430573734,0.0558122377441684,3.96465313164538,200
"bace_resid",100,0.3,0,0.946083333333333,0.0029059746594533,4.4671562192269,0.0349916942843067,1.07468072724408,0.0114317707678197,5.82579874633649,0.0990012951727575,4.46647803865228,200
"freqA",100,0.3,0,0.937666666666667,0.00246199476078275,3.62189839871206,0.0173607691940487,0.913474540123487,0.00792731409233198,4.57241614380313,0.0528327617667687,3.63400156558763,200
"freqB",100,0.3,0,0.93375,0.00238772890045455,3.60470366765096,0.0169884881003132,0.913173076760937,0.00794275770879177,4.62428148961214,0.0557171181449923,3.62057363371406,200
"bace",300,0.3,0,0.885194444444444,0.00228901488624495,3.1749000233158,0.015543873412195,1.00564057729135,0.00645338876460462,5.79693761035376,0.0814683208251129,3.18927921750225,200
"bace_chain",300,0.3,0,0.946611111111111,0.00124275304813798,3.63301266789778,0.0144026523487379,0.88305384615182,0.0049193582560156,4.39919972369273,0.0286943610780014,3.656899682578,200
"bace_resid",300,0.3,0,0.957055555555556,0.00140275601035679,4.34538573618242,0.0222135726018887,1.01764592432463,0.00648075291894272,5.4812069530493,0.0548696694553879,4.36917440115466,200
"freqA",300,0.3,0,0.946510329424902,0.00122395960985041,3.62703671020185,0.0136407887874652,0.892423572960703,0.00455106959677723,4.38990092934396,0.0245450074162924,3.64972607922267,199
"freqB",300,0.3,0,0.944919039642658,0.00128058908488552,3.62307519297448,0.013202441241207,0.8924882424609,0.00464590969596754,4.3984531133955,0.0278975973362617,3.65068316452624,199
"bace",1000,0.3,0,0.894333333333333,0.00168608219734582,3.09769080561894,0.0177061687235914,0.956334161328657,0.0059920498455547,5.39017180659972,0.0581611663227198,3.11600468230748,100
"bace_chain",1000,0.3,0,0.949333333333333,0.000997471550947442,3.50818421811235,0.0172499033176205,0.851770152113714,0.00501458033221881,4.21883085208365,0.0278281372917777,3.53673104464618,100
"bace_resid",1000,0.3,0,0.96475,0.000988251695744265,4.31742916038915,0.0249228273759207,0.96843529572241,0.00601248529526737,5.22119035414106,0.0400993861954315,4.3481265767608,100
"freqA",1000,0.3,0,0.949383333333333,0.000739745644184846,3.59645827063503,0.0127465416074507,0.871178116431793,0.00388986261248792,4.30858424706959,0.020119800023809,3.62602616437075,200
"freqB",1000,0.3,0,0.950058333333333,0.000702489938251432,3.60088031300578,0.0129556715355753,0.871051841409324,0.00395080331691344,4.294019175877,0.0205385747553628,3.6362226852687,200
"bace",100,0.7,0,0.888916666666667,0.00368398055509502,2.85087281258144,0.0346075602645376,0.850478975204122,0.0113363214125352,4.84201626349281,0.0993301020219162,2.85499935650485,200
"bace_chain",100,0.7,0,0.94675,0.00220304310877934,3.29309842562116,0.0359904642630329,0.77365726475956,0.00984336501014705,4.00058589703666,0.0549968301874204,3.26246217711246,200
"bace_resid",100,0.7,0,0.945333333333333,0.0027074972939734,3.64779273376342,0.046033943882437,0.857373103729134,0.0113583874190727,4.62740957503951,0.0695357483524579,3.63750812347851,200
"freqA",100,0.7,0,0.936083333333333,0.00246917766846757,2.93307666817017,0.0293944414106017,0.74123500086469,0.00912606692772756,3.7332792777165,0.0547364565695352,2.95556798515177,200
"freqB",100,0.7,0,0.931833333333333,0.00249843613844977,2.9258173244738,0.0293065242176642,0.740727676166839,0.00911805175733959,3.76235325096531,0.0554367926487084,2.93661501361115,200
