"arm","n","lambda","rho","estimand","coverage","coverage_se","bias","bias_se","rmse","bias_vs_complete","ci_width","fmi_median","datasets"
"bace",100,0.3,0,"cor",0.925,0.0186713173196821,0.00659702276860944,0.0106376534987275,0.150207507899067,0.00478582197931756,0.504669977490172,0.407395639357608,200
"bace_chain",100,0.3,0,"cor",0.955,0.014695399751941,0.00565540965148092,0.00968595493372539,0.136754197489436,0.00384420886218904,0.537225312568276,0.465124672938151,200
"bace_resid",100,0.3,0,"cor",0.965,0.013027801736688,0.00467463196992728,0.00940738680379778,0.132789828499143,0.0028634311806354,0.52071226288566,0.445982316965881,200
"complete",100,0.3,0,"cor",0.93,0.0180868924470722,0.00181120078929188,0.00773645296958404,0.109151127588613,-6.57026516526217e-19,0.388329263258961,0,200
"freqA",100,0.3,0,"cor",0.95,0.0154497076780334,0.00820312138708629,0.010294574581821,0.145454343691776,0.00639192059804573,0.533308095514583,0.476696995899498,200
"freqB",100,0.3,0,"cor",0.895,0.0217309958562539,0.00912926665871612,0.0103517043239073,0.14631384831668,0.00731806586967557,0.464149104457717,0.30935271922916,200
"bace",300,0.3,0,"cor",0.91,0.020286887118154,-0.00604326979011084,0.00601151822657826,0.0850179571388545,-0.00141995984983143,0.290533963223369,0.384349170725913,200
"bace_chain",300,0.3,0,"cor",0.965,0.013027801736688,-0.00267700811002904,0.00530115081195356,0.0748298346831347,0.00194630183025037,0.308126285352625,0.455204216252994,200
"bace_resid",300,0.3,0,"cor",0.96,0.0138911779241576,-0.00444998058137284,0.00527168619016144,0.0744993067712367,0.00017332935890657,0.300769556069648,0.422315698065848,200
"complete",300,0.3,0,"cor",0.92,0.019231465004808,-0.00462330994027941,0.00451348255096262,0.0638381423416663,-6.47268696973845e-19,0.225570403670879,0,200
"freqA",300,0.3,0,"cor",0.959798994974874,0.0139596974403726,-0.00539866976826208,0.00552037508442203,0.0778659409990199,-0.000354535992796775,0.311789681064764,0.472819254714462,199
"freqB",300,0.3,0,"cor",0.934673366834171,0.0175607264070903,-0.00403420265909953,0.00550611196607832,0.0775828205837277,0.00100993111636578,0.27314589828412,0.308094886115449,199
"bace",1000,0.3,0,"cor",0.92,0.0272659924344291,-0.00105045462322381,0.00469288450735286,0.0467054257003546,-0.0038762702317839,0.157922026983694,0.369410183771241,100
"bace_chain",1000,0.3,0,"cor",1,0,0.00315854954910876,0.00417190130155832,0.0416298897641903,0.00033273394054867,0.169830352310009,0.453724255598463,100
"bace_resid",1000,0.3,0,"cor",0.95,0.021904291355759,-0.00140181300664229,0.00405880255179415,0.0404088977453755,-0.00422762861520238,0.164468467364956,0.430211057638209,100
"complete",1000,0.3,0,"cor",0.95,0.0154497076780334,0.0035625418600179,0.00228370916187867,0.0324120638679188,1.57886941368201e-19,0.123856411315591,0,200
"freqA",1000,0.3,0,"cor",0.955,0.014695399751941,0.00385778364811771,0.00289445999836868,0.0410132214343718,0.000295241788127471,0.171485108181768,0.470168955404323,200
"freqB",1000,0.3,0,"cor",0.925,0.0186713173196821,0.00306402674492981,0.00291549144688864,0.0412420446255144,-0.000498515115060435,0.15057429565878,0.310831078636457,200
"bace",100,0.7,0,"cor",0.925,0.0186713173196821,-0.000717744954426499,0.0103374404920687,0.145829310041928,-0.00420533382608398,0.514113923932092,0.410098022133825,200
"bace_chain",100,0.7,0,"cor",0.96,0.0138911779241576,0.012089858952133,0.00987976130702919,0.139894573528686,0.00860227008047552,0.546484613956755,0.493627265763934,200
