"arm","n","lambda","estimand","coverage","coverage_se","bias","rmse","ci_width","fmi_median","datasets"
"bace",100,0.3,"cor",0.925,0.0131860600806733,-0.00390127198317701,0.133741628214448,0.447538051238339,0.404347846584089,400
"bace_chain",100,0.3,"cor",0.9575,0.0100989775903765,-0.0110453484762243,0.122698755211905,0.482581260165649,0.465842870892615,400
"bace_resid",100,0.3,"cor",0.9475,0.0111656192229351,-0.0295194531170268,0.129023227463101,0.471754860363354,0.43799499918352,400
"complete",100,0.3,"cor",0.92,0.013581647649759,0.00199300677472678,0.0973268641876968,0.341086853996066,0,400
"freqA",100,0.3,"cor",0.9525,0.0106486082256254,0.0081361804710636,0.127053929364622,0.467299068072705,0.473037128120063,400
"freqB",100,0.3,"cor",0.8975,0.0151842279007645,0.00826131639637348,0.128029090746003,0.407274167915801,0.306258520807766,400
"bace",300,0.3,"cor",0.895,0.0153468666440245,-0.000831986175854513,0.0757363758997257,0.255337528975128,0.387487112724019,400
"bace_chain",300,0.3,"cor",0.9575,0.0100989775903765,-0.00779249596666531,0.0680664671228777,0.272340549836956,0.458855730374477,400
"bace_resid",300,0.3,"cor",0.905,0.0146791072779032,-0.0313873729334176,0.0794219982527072,0.272729961555986,0.432663346858008,400
"complete",300,0.3,"cor",0.9325,0.01256000634548,-0.00309047374876994,0.0562790683763224,0.197906836995398,0,400
"freqA",300,0.3,"cor",0.954887218045113,0.0104036158745057,-0.0041796117608084,0.06896452025887,0.273486570283879,0.472715445532429,399
"freqB",300,0.3,"cor",0.917293233082707,0.0138064835857459,-0.00369239511230613,0.068887813910274,0.239944015944021,0.309362030047519,399
"bace",1000,0.3,"cor",0.895,0.0217309958562539,0.00481255480999561,0.0415250194554032,0.138419405173667,0.388176171532455,200
"bace_chain",1000,0.3,"cor",0.985,0.00861662527650929,-0.00102346984649995,0.036722927349594,0.148079169636084,0.448562568853758,200
"bace_resid",1000,0.3,"cor",0.74,0.0310939571437003,-0.0303981524988508,0.0553520864601403,0.14919024796354,0.431870355557895,200
"complete",1000,0.3,"cor",0.9525,0.0106486082256254,0.00273101225475216,0.0287136667036473,0.108313032790004,0,400
"freqA",1000,0.3,"cor",0.949874686716792,0.0109375530151155,0.00263601603742081,0.0360527770082631,0.14940316845935,0.468325980066485,399
"freqB",1000,0.3,"cor",0.924812030075188,0.0132178061627973,0.00196861415131774,0.0362286394116452,0.131109229895146,0.30790023279819,399
"bace",100,0.7,"cor",0.9125,0.0141460117744475,-0.00768639036786304,0.137689651092032,0.464227313087344,0.413895386456425,400
"bace_chain",100,0.7,"cor",0.955,0.0103781870727643,-0.0107137275671625,0.128857345837804,0.49924110259067,0.496337548234707,400
"bace_resid",100,0.7,"cor",0.9225,0.0133859004488703,-0.0313506646719377,0.133079711551115,0.482897958645963,0.43780976351623,400
"complete",100,0.7,"cor",0.9025,0.0148504449187799,0.00399121446294452,0.101450049097169,0.340313349302389,0,400
"freqA",100,0.7,"cor",0.9475,0.0111656192229351,0.00927517031479344,0.126835032992511,0.467643260841448,0.46743920794409,400
"freqB",100,0.7,"cor",0.9075,0.0145046660887408,0.00894143180832648,0.128126169568088,0.408826022686869,0.306431759463192,400
"bace",300,0.7,"cor",0.8775,0.0164136496470724,-0.00938767824327974,0.0797550514116559,0.256708357530283,0.388552212005768,400
"bace_chain",300,0.7,"cor",0.9475,0.0111656192229351,-0.00961511851774998,0.0708515788423626,0.273788716995726,0.449157177605859,400
"bace_resid",300,0.7,"cor",0.8975,0.0151842279007645,-0.0380145980235267,0.0816398937429664,0.272586045038049,0.428859077673661,400
"complete",300,0.7,"cor",0.9425,0.0116543526133841,-0.00361983400569344,0.0550403804976736,0.198013071303653,0,400
"freqA",300,0.7,"cor",0.965,0.00920049579137,-0.00410546583372768,0.0688490450448467,0.272800814210663,0.468256803609754,400
