"arm","n","estimand","coverage","coverage_se","bias","bias_se","rmse","ci_width","fmi_median","datasets"
"bace",100,"cor",0.934084995663487,0.00731070232769457,-0.0175894060113195,0.00400512142531387,0.137071574279019,0.485291006482747,0.433202433882637,1153
"bace_chain",100,"cor",0.962510897994769,0.00561129417960296,-0.0222614192692696,0.00370549808045656,0.127400829478039,0.536490845779837,0.512268663124262,1147
"bace_resid",100,"cor",0.943625325238508,0.00679540865772943,-0.0358553317803873,0.0037929542347471,0.133637026761501,0.499278027466566,0.452911393451443,1153
"complete",100,"cor",0.919166666666667,0.00787195831645945,0.00160713940316108,0.00282914485541991,0.0979767909863708,0.341228556080263,0,1200
"freqA",100,"cor",0.95,0.00629415180590649,0.00173197614518504,0.00361613123506324,0.125226233143452,0.468467525848363,0.467839297114993,1200
"freqB",100,"cor",0.910833333333333,0.0082302140841989,0.00212549220869807,0.00364176090256144,0.126119634713902,0.412477463611102,0.312518605949761,1200
"bace",300,"cor",0.896610169491525,0.0088671455922956,-0.0104067154034289,0.00234919132686541,0.0813317090442403,0.271201003976225,0.409528563766049,1180
"bace_chain",300,"cor",0.955046649703138,0.00603699310364054,-0.0138208037299472,0.00210688119481037,0.0736212998695174,0.298020188507063,0.473214356691934,1179
"bace_resid",300,"cor",0.905084745762712,0.00853602597220145,-0.0319090250537672,0.00223439219220659,0.0830924386713617,0.282324163255012,0.440998021775271,1180
"complete",300,"cor",0.940833333333333,0.00681373607878322,-0.00349600167825053,0.0015907685959795,0.0551937057476112,0.198018089811911,0,1200
"freqA",300,"cor",0.953294412010008,0.00609634500372354,-0.00792589372000569,0.00203435481720464,0.070858041314707,0.273553543416271,0.469155632989235,1199
"freqB",300,"cor",0.916597164303586,0.00798824275309107,-0.00721384449226348,0.00202873077018536,0.0705882872774161,0.241297244590557,0.315612081423398,1199
"bace",1000,"cor",0.901694915254237,0.0122676154526685,-0.00386967409254307,0.00185776064963749,0.0452523495019058,0.149656037931816,0.412151483258124,590
"bace_chain",1000,"cor",0.971186440677966,0.00689274342483405,-0.00702433145928757,0.00167632420928053,0.0412852062344506,0.169991956393591,0.474946287559791,590
"bace_resid",1000,"cor",0.806779661016949,0.01626845247671,-0.0287921563037631,0.00187009689701706,0.0537482634204443,0.156606542861642,0.435530201521233,590
"complete",1000,"cor",0.956666666666667,0.00588006027920089,0.00272060330213114,0.000823760550473864,0.0286534611225844,0.108316262623637,0,1200
"freqA",1000,"cor",0.94991652754591,0.00630438697299665,-0.00287629623311217,0.00107942955412688,0.0374563662188515,0.14973168669651,0.466288439577511,1198
"freqB",1000,"cor",0.91652754590985,0.00799460989565623,-0.0035716679515721,0.00109527379738298,0.0380618912741219,0.132097866611282,0.310753928554855,1198
"bace",100,"slope",0.929748482220295,0.0075298158517717,-0.0174637272733646,0.004168611105476,0.14256104916273,0.659817831861371,0.448924659579063,1153
"bace_chain",100,"slope",0.960767218831735,0.00573510439157463,-0.0225476880961013,0.00388063734217905,0.133290693457926,0.671329221127941,0.530255319699053,1147
"bace_resid",100,"slope",0.941890719861232,0.0068928172974185,-0.0357426423928164,0.00396467872765931,0.13923165180962,0.634226234632896,0.4742490609509,1153
"complete",100,"slope",0.93,0.00736853079238772,0.00027888134948319,0.00289668092809084,0.100302539815332,0.370853968222821,0,1200
"freqA",100,"slope",0.949166666666667,0.00634360221303017,0.000760248451538986,0.00377241917497605,0.130628184360607,0.516995879626568,0.479465502843629,1200
"freqB",100,"slope",0.92,0.00783482527390114,0.00155775255900413,0.00381766418004527,0.132201829726991,0.450306032833574,0.327677523425302,1200
"bace",300,"slope",0.914406779661017,0.00814765252730314,-0.0107700797362595,0.00241228541441801,0.0835268710232173,0.29520542739616,0.408399072721661,1180
"bace_chain",300,"slope",0.964376590330789,0.00540030672215357,-0.0153768162077009,0.00218501333075314,0.0765542431988301,0.323682676509594,0.474933655536238,1179
"bace_resid",300,"slope",0.919491525423729,0.00792387766393267,-0.0321384799456271,0.00229278674698731,0.0850337161448203,0.305762240509723,0.443441021454841,1180
"complete",300,"slope",0.931666666666667,0.00728680236097754,-0.00413582118338351,0.00171246483923256,0.0594408569232028,0.211902954690745,0,1200
"freqA",300,"slope",0.95162635529608,0.0061988228729332,-0.00922552817632835,0.00210847942735499,0.0735597824482656,0.29253169270676,0.469640472869016,1199
"freqB",300,"slope",0.929941618015012,0.00737444743967946,-0.00833370959652069,0.00209726941426057,0.0730677797174556,0.258863022687214,0.319521173037935,1199
"bace",1000,"slope",0.906779661016949,0.0119797726652865,-0.000633419599688089,0.00203049331821127,0.0492827673259258,0.165369825831938,0.39837966437067,590
"bace_chain",1000,"slope",0.974576271186441,0.00648589468975647,-0.00475383020293241,0.00179711496704045,0.0438730712419637,0.183513590638154,0.464652954863955,590
"bace_resid",1000,"slope",0.86271186440678,0.0141805064443983,-0.0258145806988125,0.00199785998553101,0.0549304414690748,0.171575992639714,0.432181677345442,590
"complete",1000,"slope",0.95,0.0062941518059065,0.003349893192646,0.000867402195551288,0.030221404342782,0.116005654792644,0,1200
"freqA",1000,"slope",0.967445742904841,0.00512944205604278,-0.00176082236421502,0.00112526017200501,0.0389711997464168,0.159747885927859,0.458501215058905,1198
"freqB",1000,"slope",0.926544240400668,0.00754047895525875,-0.00257816948732858,0.00114395554709695,0.039662100391997,0.141419868416,0.309694224629277,1198
