"set","n","lambda","files","bace_errors","freq_errors","bace_cleaned","freqA_refit_fail","freqA_degenerate"
"bace",100,0.3,400,0,0,0,0,0
"freq",100,0.3,400,0,0,0,1,1
"bace",300,0.3,400,0,0,0,0,0
"freq",300,0.3,400,0,1,0,12,1
"bace",1000,0.3,200,0,0,0,0,0
"freq",1000,0.3,400,0,1,0,0,0
"bace",100,0.7,400,0,0,25,0,0
"freq",100,0.7,400,0,0,0,0,1
"bace",300,0.7,400,0,0,10,0,0
"bace_asshipped_failed",300,0.7,1,1,0,0,0,0
"freq",300,0.7,400,0,0,0,1,1
"bace",1000,0.7,200,0,0,2,0,0
"freq",1000,0.7,400,0,1,0,0,5
"bace",100,1,400,47,0,187,0,0
"bace_asshipped_failed",100,1,71,71,0,0,0,0
"freq",100,1,400,0,0,0,0,2
"bace",300,1,400,20,0,195,0,0
"bace_asshipped_failed",300,1,97,97,0,0,0,0
"freq",300,1,400,0,0,0,0,1
"bace",1000,1,200,10,0,90,0,0
"freq",1000,1,400,0,0,0,45,0
