"contrast","measure","n","lambda","diff","se","datasets"
"bace_chain - bace","cell",100,0.3,0.0665833333333333,0.00262596536465202,400
"bace_chain - bace","cell",300,0.3,0.0473333333333334,0.00150931798537113,400
"bace_chain - bace","cell",1000,0.3,0.0366583333333333,0.00158429167418052,200
"bace_chain - bace","cell",100,0.7,0.0604166666666667,0.0025169123019099,400
"bace_chain - bace","cell",300,0.7,0.0391805555555556,0.00147090725756931,400
"bace_chain - bace","cell",1000,0.7,0.0334083333333333,0.00153860146184875,200
"bace_chain - bace","cell",100,1,0.0280979827089337,0.00197665116812363,347
"bace_chain - bace","cell",300,1,0.0119173262972735,0.00093628231564268,379
"bace_chain - bace","cell",1000,1,0.00786842105263158,0.000710185877165797,190
"freqA - bace_chain","cell",100,0.3,-0.00808333333333333,0.0018365345712542,400
"freqA - bace_chain","cell",300,0.3,-0.000974658869395711,0.000908609798165489,399
"freqA - bace_chain","cell",1000,0.3,0.000324999999999999,0.000676817352086122,200
"freqA - bace_chain","cell",100,0.7,-0.0112083333333333,0.0017038957585653,400
"freqA - bace_chain","cell",300,0.7,-0.000875,0.000943690369673975,400
"freqA - bace_chain","cell",1000,0.7,0.00210217755443886,0.000726581746790067,199
"freqA - bace_chain","cell",100,1,-0.0216138328530259,0.00164978885186696,347
"freqA - bace_chain","cell",300,1,-0.00439753737906772,0.000883665740810761,379
"freqA - bace_chain","cell",1000,1,0.000754385964912282,0.00063672394104586,190
"freqA - bace","cell",100,0.3,0.0585,0.00283502824139203,400
"freqA - bace","cell",300,0.3,0.0463937621832359,0.0016393117954421,399
"freqA - bace","cell",1000,0.3,0.0369833333333333,0.00165664448990748,200
"freqA - bace","cell",100,0.7,0.0492083333333333,0.00267459709330748,400
"freqA - bace","cell",300,0.7,0.0383055555555555,0.00154426059560978,400
"freqA - bace","cell",1000,0.7,0.0355695142378559,0.00160514429518801,199
"freqA - bace","cell",100,1,0.00675165250236071,0.00214964994266801,353
"freqA - bace","cell",300,1,0.00752923976608185,0.000984317578532329,380
"freqA - bace","cell",1000,1,0.00862280701754387,0.000777024957955132,190
"freqA - freqB","cell",100,0.3,0.00325,0.00145525842433324,400
"freqA - freqB","cell",300,0.3,0.000236702868281822,0.000816990654689458,399
"freqA - freqB","cell",1000,0.3,-0.000455304928989142,0.000421634844524702,399
"freqA - freqB","cell",100,0.7,0.00275,0.00147563875883927,400
"freqA - freqB","cell",300,0.7,-0.00106944444444444,0.00086041323981747,400
"freqA - freqB","cell",1000,0.7,0.000158730158730156,0.000426443852556945,399
"freqA - freqB","cell",100,1,0.000583333333333345,0.00145688405130899,400
"freqA - freqB","cell",300,1,0.000361111111111107,0.000847748477284912,400
"freqA - freqB","cell",1000,1,2.92751933805846e-18,0.000424631476504282,400
"bace_chain - bace","slope",100,0.3,0.035,0.0116092392554476,400
"bace_chain - bace","slope",300,0.3,0.04,0.0120981781598292,400
"bace_chain - bace","slope",1000,0.3,0.055,0.020296173860283,200
"bace_chain - bace","slope",100,0.7,0.035,0.0126426695255326,400
"bace_chain - bace","slope",300,0.7,0.0675000000000001,0.0148462251431974,400
"bace_chain - bace","slope",1000,0.7,0.1,0.0235109297794766,200
"bace_chain - bace","slope",100,1,0.0230547550432277,0.0107270792877152,347
"bace_chain - bace","slope",300,1,0.0422163588390501,0.0138105479793038,379
"bace_chain - bace","slope",1000,1,0.0473684210526316,0.020145450089332,190
"freqA - bace_chain","slope",100,0.3,-0.0125,0.0108929341794392,400
"freqA - bace_chain","slope",300,0.3,-0.012531328320802,0.00902598418812736,399
"freqA - bace_chain","slope",1000,0.3,0,0.015851065623706,200
"freqA - bace_chain","slope",100,0.7,-0.0075,0.0109044321999823,400
"freqA - bace_chain","slope",300,0.7,0.01,0.00865663579910786,400
"freqA - bace_chain","slope",1000,0.7,-0.0100502512562814,0.0123193504310527,199
