"set","tag","n","lambda","rho","seed","converged","n_attempts","drift","ess_min","ess_med","ess_frac_low","input_fix"
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s10",1000,0.3,0,10,TRUE,1,0.478260869565217,41.2088164243262,1600,0.00544824170381377,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s11",1000,0.3,0,11,FALSE,1,0.418181818181818,22.766108224136,1600,0.00594353640416048,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s12",1000,0.3,0,12,FALSE,1,0.402985074626866,29.9720122889984,1600,0.00693412580485389,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s13",1000,0.3,0,13,TRUE,1,0.147024018116757,50.1054141966841,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s14",1000,0.3,0,14,FALSE,1,0.185185185185185,64.9513325952137,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s15",1000,0.3,0,15,TRUE,1,0.0736211765787747,44.2228786121887,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s16",1000,0.3,0,16,FALSE,1,0.344487144767006,33.1963559260424,1600,0.00544824170381377,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s17",1000,0.3,0,17,FALSE,1,0.872496409067419,37.5074563855474,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s18",1000,0.3,0,18,FALSE,1,1.44269629655028,60.3455657109985,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s19",1000,0.3,0,19,TRUE,1,0.280701754385965,51.0045305501747,1600,0.00247647350173353,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s2",1000,0.3,0,2,FALSE,1,0.258743716844442,50.4659327261668,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s20",1000,0.3,0,20,FALSE,1,0.164567590260285,32.6141969371826,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s21",1000,0.3,0,21,FALSE,1,0.749049214107549,48.4387524614349,1600,0.00445765230312036,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s22",1000,0.3,0,22,TRUE,1,0.355174206968279,42.2112969081845,1600,0.00297176820208024,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s23",1000,0.3,0,23,TRUE,1,0.477225672877847,45.2447362002287,1600,0.00198117880138683,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s24",1000,0.3,0,24,FALSE,1,0.575757575757576,49.1426904041328,1600,0.00445765230312036,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s25",1000,0.3,0,25,FALSE,1,0.819184978394868,59.7701780093429,1600,0.00247647350173353,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s26",1000,0.3,0,26,TRUE,1,0.120945262065861,60.9536522413557,1600,0.00198117880138683,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s27",1000,0.3,0,27,FALSE,1,0.973162097461861,39.8058056154663,1600,0.00445765230312036,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s28",1000,0.3,0,28,FALSE,1,1.46783984850022,27.5174549595919,1600,0.00742942050520059,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s29",1000,0.3,0,29,TRUE,1,0.124229074889868,35.113857188872,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s3",1000,0.3,0,3,FALSE,1,1.44112780554814,50.0382681412093,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s30",1000,0.3,0,30,FALSE,1,0.197107002150331,56.1579651298639,1600,0.00495294700346706,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s4",1000,0.3,0,4,TRUE,1,0.183246073298429,45.4686256977225,1600,0.00544824170381377,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s5",1000,0.3,0,5,FALSE,1,0.166304068875128,60.1963637988953,1600,0.00594353640416048,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s6",1000,0.3,0,6,TRUE,1,0.230290146605651,45.8060721913315,1600,0.00643883110450718,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s7",1000,0.3,0,7,TRUE,1,0.148148148148148,24.1233193851115,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s71",1000,0.3,0,71,FALSE,1,28.0609766544951,49.686437130234,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s8",1000,0.3,0,8,FALSE,1,0.532578943723414,51.1419382006009,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s80",1000,0.3,0,80,FALSE,1,1.0454497085459,60.0223823712054,1600,0.00247647350173353,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s81",1000,0.3,0,81,FALSE,1,0.75,41.1424950260838,1600,0.00297176820208024,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s82",1000,0.3,0,82,FALSE,1,3.44783791760608,52.2848840623667,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n1000_M20_s9",1000,0.3,0,9,FALSE,1,0.20275759164718,45.9702298944527,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s103",300,0.3,0,103,FALSE,1,0.65,54.5920071675822,1600,0.00495294700346706,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s104",300,0.3,0,104,FALSE,1,0.411764705882353,15.8711290868039,1600,0.00941059930658742,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s105",300,0.3,0,105,FALSE,1,2.65043877908819,3.88465792498779,1600,0.0104011887072808,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s106",300,0.3,0,106,FALSE,1,2.51430139742936,3.99131887396365,1600,0.0212976721149084,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s107",300,0.3,0,107,FALSE,1,1.03663152482368,29.8678006147908,1600,0.011887072808321,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s108",300,0.3,0,108,FALSE,1,10.5402215732031,26.7113452928553,1600,0.00495294700346706,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s109",300,0.3,0,109,FALSE,1,0.35,39.2697261319711,1600,0.0104011887072808,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s110",300,0.3,0,110,FALSE,1,1.30265914576995,1.83186924950267,1600,0.0153541357107479,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s111",300,0.3,0,111,FALSE,1,0.296249885501303,46.6228560814335,1600,0.00445765230312036,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s112",300,0.3,0,112,FALSE,1,1.62976802361414,2.1612296267855,1600,0.0599306587419515,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s113",300,0.3,0,113,FALSE,1,0.23414815339423,33.8171080857891,1600,0.00941059930658742,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s114",300,0.3,0,114,FALSE,1,0.552617068272071,9.14399025161423,1600,0.0108964834076275,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s115",300,0.3,0,115,FALSE,1,1.08058657842065,48.6744587720354,1600,0.00346706290242694,""
