"n","lambda","arm","trait","n_fits","n_fits_trait_absent","n_fits_missing","accuracy","accuracy_se","brier","brier_se","ece","ece_se","set_coverage","set_coverage_se","set_size","set_size_se","mae_class","mae_class_se","frac_unanimous","frac_unanimous_se","n_na_draws"
100,0.3,"bace","bin",400,0,0,0.667541666666667,0.00520966315521019,0.492057083333333,0.00727244729374737,0.211395833333333,0.00401830354662974,0.9095,0.00298691800992176,1.62075,0.00721530941257841,NA,NA,0.235833333333333,0.006300374823644,0
100,0.3,"bace","cat3",400,0,0,0.496347222222222,0.00557713154865416,0.703444633435442,0.00715862789196588,0.278855662436477,0.00447683998393404,0.892083333333333,0.00295578846733983,2.30883333333333,0.00991747836164747,NA,NA,0.0663333333333333,0.00326364069693939,19451
100,0.3,"bace","ord",400,0,0,0.410576388888889,0.00546724832465477,0.746977916666667,0.00613561766162554,0.245031944444444,0.003995464413317,0.858611111111111,0.00389442955738068,2.77875,0.0169935442186962,0.865694444444444,0.00993249117477132,0.0458333333333333,0.00333307225376893,0
100,0.3,"bace_chain","bin",400,0,0,0.665333333333333,0.00508857769384084,0.46510375,0.00653637770481347,0.1884125,0.00350914809132627,0.94,0.00239220399070946,1.70833333333333,0.00694841156527326,NA,NA,0.170083333333333,0.0054053187473297,0
100,0.3,"bace_chain","cat3",400,0,0,0.495666666666667,0.00564092443365689,0.680089229663595,0.00683322884925589,0.255041220337254,0.00402234357703499,0.906125,0.00272260713908687,2.37716666666667,0.0100015001659491,NA,NA,0.059,0.00334255199763061,19876
100,0.3,"bace_chain","ord",400,0,0,0.413798611111111,0.00583910954378807,0.72427375,0.00594332879598893,0.220298611111111,0.00376590694693987,0.888458333333333,0.00347174453689934,2.94133333333333,0.0173452019002747,0.849277777777778,0.0101455956996739,0.0314166666666667,0.00268259328618221,0
100,0.3,"bace_resid","bin",400,0,0,0.667541666666667,0.00520966315521019,0.492057083333333,0.00727244729374737,0.211395833333333,0.00401830354662974,0.9095,0.00298691800992176,1.62075,0.00721530941257841,NA,NA,0.235833333333333,0.006300374823644,0
100,0.3,"bace_resid","cat3",400,0,0,0.496347222222222,0.00557713154865416,0.703444633435442,0.00715862789196588,0.278855662436477,0.00447683998393404,0.892083333333333,0.00295578846733983,2.30883333333333,0.00991747836164747,NA,NA,0.0663333333333333,0.00326364069693939,19451
100,0.3,"bace_resid","ord",400,0,0,0.410576388888889,0.00546724832465477,0.746977916666667,0.00613561766162554,0.245031944444444,0.003995464413317,0.858611111111111,0.00389442955738068,2.77875,0.0169935442186962,0.865694444444444,0.00993249117477132,0.0458333333333333,0.00333307225376893,0
100,0.3,"freqA","bin",400,0,0,0.584083333333333,0.00633181482697206,0.499920416666667,0.0045578216048371,0.1577375,0.00334429556438804,0.98825,0.00145788720948045,1.96091666666667,0.00468077106836964,NA,NA,0.0176666666666667,0.00276686243029162,0
100,0.3,"freqA","cat3",400,0,0,0.421458333333333,0.00640651796190945,0.685327083333333,0.00496273990070382,0.1886,0.00361656878238582,0.956208333333333,0.00243600117968447,2.78133333333333,0.0114661003143538,NA,NA,0.00858333333333334,0.00105698634507145,0
100,0.3,"freqA","ord",400,0,0,0.335423611111111,0.00587772233894024,0.768665833333333,0.00402292827327091,0.185272222222222,0.00349704548134718,0.917583333333333,0.00311789617708116,3.46775,0.0178393964310363,1.03456944444444,0.0106435056789109,0.00316666666666667,0.000884557638965799,0
100,0.3,"freqA_er","bin",400,0,0,0.537708333333333,0.00523192235434169,0.518879583333333,0.00366777476699695,0.1452875,0.00338179861129054,0.985666666666667,0.00178181975759779,1.94808333333333,0.006398467720272,NA,NA,0.0293333333333333,0.00426940179667785,0
100,0.3,"freqA_er","cat3",400,0,0,0.362333333333333,0.00553541042634934,0.69836625,0.0035716720600043,0.172733333333333,0.00353884577325015,0.978125,0.00229033720075831,2.89433333333333,0.0127946857006206,NA,NA,0.0158333333333333,0.00296380044207246,0
100,0.3,"freqA_er","ord",400,0,0,0.327659722222222,0.00564540387452641,0.763806666666667,0.00360844670100376,0.165868055555556,0.003102575001065,0.943972222222222,0.00243455721425501,3.62591666666667,0.0150236974001088,1.08895833333333,0.0113195341366231,0.00225,0.000596900352347136,0
100,0.3,"freqB","bin",400,0,0,0.5845,0.00615858939499282,0.502143333333333,0.00467851227671404,0.15375,0.00347888416879205,0.984166666666667,0.0017256682585182,1.95191666666667,0.00519105697738594,NA,NA,0.0224166666666667,0.00321868143688483,0
