"contrast","measure","n","lambda","rho","trait","diff","se","datasets"
"bace_chain - freqA","accuracy",100,0.3,0,"bin",0.0629166666666667,0.00806990457532366,200
"bace_chain - freqA","accuracy",100,0.3,0,"cat3",0.0535555555555556,0.00829874078275231,200
"bace_chain - freqA","accuracy",100,0.3,0,"ord",0.0569166666666667,0.00800870562641268,200
"bace_chain - freqA","accuracy",100,0.3,0.5,"bin",0.0995833333333333,0.00872083757995961,200
"bace_chain - freqA","accuracy",100,0.3,0.5,"cat3",0.0948611111111111,0.00833788610976744,200
"bace_chain - freqA","accuracy",100,0.3,0.5,"ord",0.0998333333333333,0.00755400249253168,200
"bace_chain - freqA","accuracy",100,0.7,0,"bin",0.0415833333333333,0.00741883073089926,200
"bace_chain - freqA","accuracy",100,0.7,0,"cat3",0.0460277777777778,0.00702081153580228,200
"bace_chain - freqA","accuracy",100,0.7,0,"ord",0.0464166666666667,0.00709506096073901,200
"bace_chain - freqA","accuracy",100,0.7,0.5,"bin",0.061,0.00724023437867724,200
"bace_chain - freqA","accuracy",100,0.7,0.5,"cat3",0.07825,0.00805035812038004,200
"bace_chain - freqA","accuracy",100,0.7,0.5,"ord",0.0642083333333333,0.0071652819587523,200
"bace_chain - freqA","accuracy",100,1,0,"bin",-0.0155882352941177,0.00324974709821017,170
"bace_chain - freqA","accuracy",100,1,0,"cat3",-0.013625077591558,0.00372371761443442,179
"bace_chain - freqA","accuracy",100,1,0,"ord",-0.00995115995115995,0.00435835840114713,182
"bace_chain - freqA","accuracy",100,1,0.5,"bin",-0.00744444444444445,0.00349900261584057,150
"bace_chain - freqA","accuracy",100,1,0.5,"cat3",-0.0111805555555556,0.00411539249909612,160
"bace_chain - freqA","accuracy",100,1,0.5,"ord",-0.00616161616161617,0.0041681427354035,165
"bace_chain - freqA","accuracy",300,0.3,0,"bin",0.0969444444444444,0.00561715569630293,200
"bace_chain - freqA","accuracy",300,0.3,0,"cat3",0.0861111111111111,0.00543190136633814,200
"bace_chain - freqA","accuracy",300,0.3,0,"ord",0.0866296296296296,0.00502780404128269,200
"bace_chain - freqA","accuracy",300,0.3,0.5,"bin",0.13425,0.00554826119399729,200
"bace_chain - freqA","accuracy",300,0.3,0.5,"cat3",0.131027777777778,0.0058347326895632,200
"bace_chain - freqA","accuracy",300,0.3,0.5,"ord",0.144601851851852,0.00508784489281756,200
"bace_chain - freqA","accuracy",300,0.7,0,"bin",0.0678888888888889,0.0059366968928975,200
"bace_chain - freqA","accuracy",300,0.7,0,"cat3",0.0760555555555556,0.00580903983934332,200
"bace_chain - freqA","accuracy",300,0.7,0,"ord",0.0934537037037037,0.00571915617506145,200
"bace_chain - freqA","accuracy",300,0.7,0.5,"bin",0.0917222222222222,0.0062757614743755,200
"bace_chain - freqA","accuracy",300,0.7,0.5,"cat3",0.112,0.0061477304946725,200
"bace_chain - freqA","accuracy",300,0.7,0.5,"ord",0.138634259259259,0.0057548544464929,200
"bace_chain - freqA","accuracy",300,1,0,"bin",-0.00145202020202021,0.00122846092102884,176
"bace_chain - freqA","accuracy",300,1,0,"cat3",-0.00147147147147147,0.0012853147231633,185
"bace_chain - freqA","accuracy",300,1,0,"ord",-0.0057033096926714,0.00172180809924389,188
"bace_chain - freqA","accuracy",300,1,0.5,"bin",-0.00142045454545454,0.0013111330915464,176
"bace_chain - freqA","accuracy",300,1,0.5,"cat3",-0.00277777777777778,0.00136200127936856,188
"bace_chain - freqA","accuracy",300,1,0.5,"ord",0.001440329218107,0.00195372006436228,189
"bace_chain - freqA","brier",100,0.3,0,"bin",-0.0176316666666667,0.00804808418911107,200
"bace_chain - freqA","brier",100,0.3,0,"cat3",0.0156468303032983,0.0082654320537538,200
"bace_chain - freqA","brier",100,0.3,0,"ord",-0.0262408333333333,0.00712133707872371,200
"bace_chain - freqA","brier",100,0.3,0.5,"bin",-0.0520016666666667,0.0089959876897558,200
"bace_chain - freqA","brier",100,0.3,0.5,"cat3",-0.026122537642775,0.00787416573537494,200
"bace_chain - freqA","brier",100,0.3,0.5,"ord",-0.0625433333333333,0.00707334177958092,200
"bace_chain - freqA","brier",100,0.7,0,"bin",-0.0420641666666667,0.00742006638033903,200
"bace_chain - freqA","brier",100,0.7,0,"cat3",-0.0156103893051511,0.00742253878824537,200
