"set","tag","n","lambda","rho","seed","cluster","node","time","M","arms","realised_frac","wall_s_total","wall_s","n_errors","errors","R","BACE","MCMCglmm","Rphylopars","castor","git_hash","imputations_saved"
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s1",300,0.3,0,1,"fir","fc30655","2026-09-26 10:44:59",20,"bace;bace_chain;bace_resid",0.3,5433.906,"bace_fit=3101.2;bace_chain=2332.7",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s10",300,0.3,0,10,"fir","fc30646","2026-09-26 11:10:03",20,"bace;bace_chain;bace_resid",0.3,6714.737,"bace_fit=3700.7;bace_chain=3014.1",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s100",300,0.3,0,100,"fir","fc30642","2026-09-26 11:21:16",20,"bace;bace_chain;bace_resid",0.3,6725.281,"bace_fit=3821.1;bace_chain=2904.2",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s11",300,0.3,0,11,"fir","fc30655","2026-09-26 10:46:04",20,"bace;bace_chain;bace_resid",0.3,5276.465,"bace_fit=2981;bace_chain=2295.5",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s12",300,0.3,0,12,"fir","fc30656","2026-09-26 11:00:12",20,"bace;bace_chain;bace_resid",0.3,6123.841,"bace_fit=3520.9;bace_chain=2602.9",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s13",300,0.3,0,13,"fir","fc30508","2026-09-26 10:54:03",20,"bace;bace_chain;bace_resid",0.3,5755.691,"bace_fit=3191.2;bace_chain=2564.5",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s14",300,0.3,0,14,"fir","fc30508","2026-09-26 10:54:54",20,"bace;bace_chain;bace_resid",0.3,5806.101,"bace_fit=3219.1;bace_chain=2587",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s15",300,0.3,0,15,"fir","fc30509","2026-09-26 11:00:33",20,"bace;bace_chain;bace_resid",0.3,6145.555,"bace_fit=3382.8;bace_chain=2762.7",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s16",300,0.3,0,16,"fir","fc30512","2026-09-26 10:57:13",20,"bace;bace_chain;bace_resid",0.3,5945.521,"bace_fit=3324.1;bace_chain=2621.4",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s17",300,0.3,0,17,"fir","fc30515","2026-09-26 10:57:58",20,"bace;bace_chain;bace_resid",0.3,5989.206,"bace_fit=3301.5;bace_chain=2687.7",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s18",300,0.3,0,18,"fir","fc30518","2026-09-26 10:52:00",20,"bace;bace_chain;bace_resid",0.3,5631.588,"bace_fit=3172.4;bace_chain=2459.2",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s19",300,0.3,0,19,"fir","fc30519","2026-09-26 11:06:38",20,"bace;bace_chain;bace_resid",0.3,6509.687,"bace_fit=3734.6;bace_chain=2775.1",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s2",300,0.3,0,2,"fir","fc30524","2026-09-26 11:03:00",20,"bace;bace_chain;bace_resid",0.3,6515.287,"bace_fit=3676.9;bace_chain=2838.4",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s20",300,0.3,0,20,"fir","fc30519","2026-09-26 11:05:47",20,"bace;bace_chain;bace_resid",0.3,6459.028,"bace_fit=3702.5;bace_chain=2756.6",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s21",300,0.3,0,21,"fir","fc30521","2026-09-26 11:11:12",20,"bace;bace_chain;bace_resid",0.3,6783.567,"bace_fit=3772.7;bace_chain=3010.8",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s22",300,0.3,0,22,"fir","fc30521","2026-09-26 11:09:20",20,"bace;bace_chain;bace_resid",0.3,6671.668,"bace_fit=3730.6;bace_chain=2941",0,"","4.5.0","0.1.0","2.36",NA,NA,"55a0998",TRUE
