"n","lambda","rho","R","R_used","truth","mc_se","sd_complete","liability_ref","wall_s"
100,0.3,0,5000,5000,-0.00229772419664423,0.00279169169167965,0.197402412616883,0,6.558
300,0.3,0,5000,5000,-0.000830084658429797,0.00158026382395526,0.111741526598255,0,29.189
100,0.7,0,5000,4989,-0.00506223967224394,0.00296044555968605,0.209104717647149,0,6.617
300,0.7,0,5000,4995,-0.00198343518299678,0.00163552917297058,0.115591537751736,0,27.834
100,1,0,5000,4632,-0.00461077820154483,0.00592591719732256,0.403310802141415,0,7.04300000000001
300,1,0,5000,4693,-0.00322645017612552,0.00537062556351183,0.367917251160632,0,27.498
100,0.3,0.5,5000,5000,0.719697930658413,0.0025381667541467,0.179475492363938,0.797884560802865,6.842
300,0.3,0.5,5000,5000,0.70587307890235,0.00146288034164079,0.103441260963869,0.797884560802865,29.389
100,0.7,0.5,5000,4984,0.52637722720545,0.00271544004337402,0.191703143718951,0.797884560802865,6.79500000000002
300,0.7,0.5,5000,4999,0.506015513219834,0.00160245504216073,0.113299351050964,0.797884560802865,28.764
100,1,0.5,5000,4643,0.253345190611432,0.00719339266329275,0.490154630145021,0.797884560802865,7.124
300,1,0.5,5000,4734,0.179239612166988,0.00645047153706765,0.443818692892899,0.797884560802865,28.98
