"folder","cluster","tag","n","lambda","rho","seed","errors"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l0.7_r0_mcar0.3_n300_M20_s123",300,0.7,0,123,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s105",300,1,0,105,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s106",300,1,0,106,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s107",300,1,0,107,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s109",300,1,0,109,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s110",300,1,0,110,"argument is of length zero"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s117",300,1,0,117,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s121",300,1,0,121,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s123",300,1,0,123,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s124",300,1,0,124,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s127",300,1,0,127,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s128",300,1,0,128,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s137",300,1,0,137,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s143",300,1,0,143,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s145",300,1,0,145,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s146",300,1,0,146,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s147",300,1,0,147,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s149",300,1,0,149,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s151",300,1,0,151,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s155",300,1,0,155,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s156",300,1,0,156,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s157",300,1,0,157,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s163",300,1,0,163,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s164",300,1,0,164,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s167",300,1,0,167,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s168",300,1,0,168,"argument is of length zero"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s177",300,1,0,177,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s178",300,1,0,178,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s181",300,1,0,181,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s182",300,1,0,182,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s185",300,1,0,185,"argument is of length zero"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s186",300,1,0,186,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s195",300,1,0,195,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s199",300,1,0,199,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0_mcar0.3_n300_M20_s200",300,1,0,200,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0.5_mcar0.3_n300_M20_s103",300,1,0.5,103,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0.5_mcar0.3_n300_M20_s105",300,1,0.5,105,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0.5_mcar0.3_n300_M20_s111",300,1,0.5,111,"argument is of length zero"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0.5_mcar0.3_n300_M20_s114",300,1,0.5,114,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0.5_mcar0.3_n300_M20_s117",300,1,0.5,117,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0.5_mcar0.3_n300_M20_s119",300,1,0.5,119,"argument is of length zero"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0.5_mcar0.3_n300_M20_s120",300,1,0.5,120,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0.5_mcar0.3_n300_M20_s121",300,1,0.5,121,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0.5_mcar0.3_n300_M20_s123",300,1,0.5,123,"Mixed model equations singular: use a (stronger) prior
"
"bace_asshipped_failed","fir","rubin_types_mixed_BM_l1_r0.5_mcar0.3_n300_M20_s127",300,1,0.5,127,"Mixed model equations singular: use a (stronger) prior
"
